initial_tree_size,num_updates,num_queries,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
45000000,900000,100000,20,257.289,216.814,288.48,321.113,
45000000,1800000,200000,20,259.868,325.445,290.752,409.464,
45000000,2700000,300000,20,258.777,333.014,288.886,412.918,
45000000,3600000,400000,20,258.511,332.736,289.92,389.923,
45000000,4500000,500000,20,261.103,332.192,289.561,418.951,
45000000,5400000,600000,20,257.538,346.382,289.571,424.057,
45000000,6300000,700000,20,259.287,343.598,289.786,399.261,
45000000,7200000,800000,20,257.438,346.71,288.437,425.488,
45000000,8100000,900000,20,258.755,346.312,289.168,417.159,
45000000,9000000,1000000,20,257.392,343.522,287.002,401.326,
45000000,9900000,1100000,20,259.924,343.805,288.653,402.958,
45000000,10800000,1200000,20,257.843,345.471,283.755,406.96,
45000000,11700000,1300000,20,259.826,345.885,288.845,409.215,
45000000,12600000,1400000,20,258.963,347.851,289.413,383.838,
45000000,13500000,1500000,20,257.485,350.231,289.986,410.702,
45000000,14400000,1600000,20,257.797,346.859,285.216,399.486,
45000000,15300000,1700000,20,259.087,348.347,286.51,402.132,
45000000,16200000,1800000,20,260.078,354.316,289.243,382.67,
45000000,17100000,1900000,20,258.039,350.888,283.531,385.319,
45000000,18000000,2000000,20,258.778,354.669,289.685,403.955,
45000000,18900000,2100000,20,258.482,352.667,289.209,409.128,
45000000,19800000,2200000,20,258.571,354.52,289.123,408.673,
45000000,20700000,2300000,20,258.767,354.679,287.081,395.52,
45000000,21600000,2400000,20,259.395,358.004,289.165,410.472,
45000000,22500000,2500000,20,258.339,353.17,285.026,387.954,
45000000,23400000,2600000,20,258.375,352.06,283.811,388.721,
45000000,24300000,2700000,20,258.278,350.953,286.814,387.512,
45000000,25200000,2800000,20,258.801,357.079,288.872,396.48,
45000000,26100000,2900000,20,258.417,354.61,289.524,391.836,
45000000,27000000,3000000,20,258.952,358.761,289.058,403.084,
45000000,27900000,3100000,20,260.693,356.035,289.433,392.069,
45000000,28800000,3200000,20,257.537,351.008,287.166,398.77,
45000000,29700000,3300000,20,258.493,356.743,288.911,399.741,
45000000,30600000,3400000,20,258.496,355.113,290.359,404.326,
45000000,31500000,3500000,20,259.202,360.89,290.517,413.017,
45000000,32400000,3600000,20,257.554,349.862,288.448,411.113,
45000000,33300000,3700000,20,260.475,362.802,289.817,405.927,
45000000,34200000,3800000,20,260.259,359.632,290.918,408.079,
45000000,35100000,3900000,20,260.574,358.458,290.479,407.206,
45000000,36000000,4000000,20,258.27,359.614,290.587,413.232,
45000000,36900000,4100000,20,257.335,359.667,287.844,398.376,
45000000,37800000,4200000,20,259.437,360.446,282.799,379.542,
45000000,38700000,4300000,20,257.704,358.164,288.153,399.556,
45000000,39600000,4400000,20,258.934,359.195,288.629,399.485,
45000000,40500000,4500000,20,259.14,358.283,289.584,409.623,
