initial_tree_size,num_insertions,num_range_query,average_range_length,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
100000,2500000,2500000,4,20,10.9927,248.508,12.9337,332.517,
100000,2500000,2500000,8,20,11.0316,247.261,12.0904,323.569,
100000,2500000,2500000,12,20,10.8721,241.446,13.6334,317.327,
100000,2500000,2500000,16,20,11.2775,243.793,12.0899,315.178,
100000,2500000,2500000,20,20,10.3746,237.508,13.8648,321.298,
100000,2500000,2500000,24,20,11.0843,242.804,13.6748,314.789,
100000,2500000,2500000,28,20,10.4914,246.395,11.8473,304.445,
100000,2500000,2500000,32,20,10.8172,243.731,11.6399,309.729,
100000,2500000,2500000,36,20,10.4554,244.532,11.6209,308.702,
100000,2500000,2500000,40,20,11.677,243.704,13.1773,306.3,
100000,2500000,2500000,44,20,11.2595,244.403,12.9475,309.68,
100000,2500000,2500000,48,20,10.6279,245.116,12.5213,301.362,
100000,2500000,2500000,52,20,11.0469,242.989,13.527,320.412,
100000,2500000,2500000,56,20,9.68341,247.925,11.3799,300.963,
100000,2500000,2500000,60,20,10.4517,242.934,13.5567,307.621,
100000,2500000,2500000,64,20,12.022,245.854,12.7365,297.963,
100000,2500000,2500000,68,20,10.7579,245.786,12.3954,303.194,
100000,2500000,2500000,72,20,9.97194,241.102,12.5408,312.98,
100000,2500000,2500000,76,20,9.86601,241.949,12.8225,306.925,
100000,2500000,2500000,80,20,12.4977,238.679,12.6745,307.104,
100000,2500000,2500000,84,20,11.5454,241.389,11.7949,305.853,
100000,2500000,2500000,88,20,10.6953,245.854,11.3812,306.688,
100000,2500000,2500000,92,20,10.0535,243.934,11.9804,302.402,
100000,2500000,2500000,96,20,10.7773,245.819,13.2056,300.656,
100000,2500000,2500000,100,20,11.0654,242.771,13.3049,306.457,
100000,2500000,2500000,104,20,11.9024,246.621,12.3636,300.411,
100000,2500000,2500000,108,20,10.5564,244.656,10.8379,299.542,
100000,2500000,2500000,112,20,10.8233,240.05,12.3299,301.843,
100000,2500000,2500000,116,20,10.6512,241.976,11.991,302.91,
100000,2500000,2500000,120,20,9.65928,242.112,12.0113,303.048,
100000,2500000,2500000,124,20,11.561,245.04,11.8056,302.139,
100000,2500000,2500000,128,20,10.4126,239.132,13.1958,302.425,
100000,2500000,2500000,132,20,11.4762,239.632,13.0779,297.794,
100000,2500000,2500000,136,20,10.8628,239.648,12.0183,303.099,
100000,2500000,2500000,140,20,10.9978,241.384,11.2222,301.196,
100000,2500000,2500000,144,20,10.9657,237.712,14.3051,299.66,
100000,2500000,2500000,148,20,11.6395,241.196,12.6306,293.267,
100000,2500000,2500000,152,20,10.8982,240.831,12.1002,294.527,
100000,2500000,2500000,156,20,11.684,240.751,11.5015,294.899,
100000,2500000,2500000,160,20,10.465,239.586,13.3706,297.582,
100000,2500000,2500000,164,20,11.7346,237.595,12.0863,294.234,
100000,2500000,2500000,168,20,10.7972,239.6,12.0239,291.49,
100000,2500000,2500000,172,20,11.3617,235.921,12.3277,295.59,
100000,2500000,2500000,176,20,10.2942,237.312,12.921,294.038,
100000,2500000,2500000,180,20,9.70044,236.553,12.7504,286.911,
100000,2500000,2500000,184,20,11.1445,234.96,12.2013,294.021,
100000,2500000,2500000,188,20,9.91998,234.584,13.2639,291.851,
100000,2500000,2500000,192,20,11.1276,234.181,12.4245,290.427,
100000,2500000,2500000,196,20,11.1141,233.918,12.4717,286.303,
100000,2500000,2500000,200,20,11.0105,233.289,11.2238,287.508,
100000,2500000,2500000,204,20,9.20036,231.969,12.8419,284.195,
100000,2500000,2500000,208,20,10.2014,231.894,13.5694,281.545,
100000,2500000,2500000,212,20,10.7495,229.522,12.2151,281.005,
100000,2500000,2500000,216,20,9.8487,226.945,12.2822,277.032,
100000,2500000,2500000,220,20,11.6237,222.363,11.6792,272.361,
100000,2500000,2500000,224,20,10.3291,218.204,12.6851,271.614,
100000,2500000,2500000,228,20,11.0864,216.002,12.4075,265.854,
100000,2500000,2500000,232,20,11.1335,211.105,12.7295,263.073,
100000,2500000,2500000,236,20,10.0395,208.204,11.946,262.689,
100000,2500000,2500000,240,20,11.2464,205.258,11.513,260.055,
100000,2500000,2500000,244,20,10.4398,201.856,12.2086,255.962,
100000,2500000,2500000,248,20,10.2104,200.005,12.7348,253.703,
100000,2500000,2500000,252,20,11.8683,196.706,12.3062,250.338,
100000,2500000,2500000,256,20,11.4298,193.443,12.4411,247.057,
100000,2500000,2500000,260,20,11.5864,191.131,12.8373,244.016,
100000,2500000,2500000,264,20,10.7418,187.147,12.1828,244.883,
100000,2500000,2500000,268,20,11.1505,185.235,13.6599,239.222,
100000,2500000,2500000,272,20,10.0062,182.44,12.2795,234.8,
100000,2500000,2500000,276,20,11.1996,179.72,12.7232,234.869,
100000,2500000,2500000,280,20,10.9091,177.608,12.8696,233.263,
100000,2500000,2500000,284,20,11.6154,175.292,12.7094,227.803,
100000,2500000,2500000,288,20,10.409,173.092,13.3,228.29,
100000,2500000,2500000,292,20,10.1006,170.604,13.1538,225.529,
100000,2500000,2500000,296,20,10.4978,167.848,12.0948,222.491,
100000,2500000,2500000,300,20,10.8055,166.29,12.3481,222.049,
100000,2500000,2500000,304,20,11.0003,164.639,12.7994,219.718,
100000,2500000,2500000,308,20,10.7768,162.067,12.0219,215.721,
100000,2500000,2500000,312,20,11.5538,159.988,13.0241,214.205,
100000,2500000,2500000,316,20,11.5541,157.412,11.8069,215.367,
100000,2500000,2500000,320,20,10.6318,155.847,13.6937,212.846,
100000,2500000,2500000,324,20,11.062,153.662,12.4994,210.819,
100000,2500000,2500000,328,20,11.6872,151.532,12.1156,207.233,
100000,2500000,2500000,332,20,12.6945,150.013,12.8504,204.79,
100000,2500000,2500000,336,20,9.66463,148.428,12.74,206.308,
100000,2500000,2500000,340,20,11.7817,146.035,11.9979,201.363,
100000,2500000,2500000,344,20,10.3737,144.35,13.9321,199.293,
100000,2500000,2500000,348,20,11.456,142.629,13.0353,198.998,
100000,2500000,2500000,352,20,11.3504,141.617,11.692,194.297,
100000,2500000,2500000,356,20,11.1421,139.489,11.3069,195.305,
100000,2500000,2500000,360,20,9.88183,137.988,12.7048,193.638,
100000,2500000,2500000,364,20,11.0487,135.909,11.7897,189.155,
100000,2500000,2500000,368,20,10.1389,135.424,12.1952,195.055,
100000,2500000,2500000,372,20,10.4907,133.52,12.6238,189.206,
100000,2500000,2500000,376,20,11.1204,131.904,13.1394,187.549,
100000,2500000,2500000,380,20,11.8314,130.36,12.798,187.899,
100000,2500000,2500000,384,20,11.1797,129.263,12.1673,186.307,
100000,2500000,2500000,388,20,12.1463,127.749,12.1713,186.359,
100000,2500000,2500000,392,20,10.7903,126.396,11.2479,185.007,
100000,2500000,2500000,396,20,11.1386,125.04,11.9113,181.403,
100000,2500000,2500000,400,20,10.3224,123.905,13.4813,181.586,
100000,2500000,2500000,404,20,11.215,122.5,12.6458,176.076,
100000,2500000,2500000,408,20,11.5945,121.217,12.5191,177.852,
100000,2500000,2500000,412,20,11.0885,120.077,13.7616,177.673,
100000,2500000,2500000,416,20,10.1267,118.774,11.5531,175.386,
100000,2500000,2500000,420,20,11.3825,117.696,12.7195,173.932,
100000,2500000,2500000,424,20,12.0165,116.391,12.3537,176.07,
100000,2500000,2500000,428,20,10.5912,115.477,11.4474,169.006,
100000,2500000,2500000,432,20,11.113,114.094,12.3984,169.697,
100000,2500000,2500000,436,20,10.5077,112.942,13.0334,170.592,
100000,2500000,2500000,440,20,10.4041,111.544,13.1511,166.091,
100000,2500000,2500000,444,20,10.8418,110.663,12.5267,167.861,
100000,2500000,2500000,448,20,10.7887,109.796,12.7563,165.239,
100000,2500000,2500000,452,20,10.453,108.815,11.4515,164.286,
100000,2500000,2500000,456,20,11.1382,107.653,11.993,164.738,
100000,2500000,2500000,460,20,9.65197,106.716,12.3574,162.288,
100000,2500000,2500000,464,20,11.9919,105.843,13.8713,159.698,
100000,2500000,2500000,468,20,12.3688,104.601,11.5597,160.01,
100000,2500000,2500000,472,20,10.398,103.772,12.5569,159.201,
100000,2500000,2500000,476,20,9.35087,102.814,12.19,158.885,
100000,2500000,2500000,480,20,11.3063,101.957,12.9425,156.989,
100000,2500000,2500000,484,20,12.2473,100.847,13.9297,157.84,
100000,2500000,2500000,488,20,10.578,100.156,12.0015,153.463,
100000,2500000,2500000,492,20,11.103,99.4091,12.9642,155.06,
100000,2500000,2500000,496,20,9.86885,98.8819,12.6308,153.216,
100000,2500000,2500000,500,20,11.3,97.6021,12.8644,153.143,
100000,2500000,2500000,504,20,10.9097,96.9642,12.9086,151.339,
100000,2500000,2500000,508,20,11.398,96.102,13.2266,148.966,
100000,2500000,2500000,512,20,11.4002,95.5713,12.66,147.078,
100000,2500000,2500000,516,20,11.6102,94.385,12.5909,147.552,
100000,2500000,2500000,520,20,10.6476,93.7507,12.0709,145.39,
100000,2500000,2500000,524,20,11.1445,92.9887,12.7071,146.217,
100000,2500000,2500000,528,20,10.6682,92.3571,12.9025,145.338,
100000,2500000,2500000,532,20,9.59894,91.4176,12.7815,143.685,
100000,2500000,2500000,536,20,10.2962,90.7631,13.0452,141.991,
100000,2500000,2500000,540,20,9.65708,90.0031,12.7031,140.576,
100000,2500000,2500000,544,20,10.8482,89.5191,12.3645,139.99,
100000,2500000,2500000,548,20,10.2862,88.5007,11.9077,139.249,
100000,2500000,2500000,552,20,9.76802,87.9252,12.2644,139.657,
100000,2500000,2500000,556,20,10.3408,87.3347,12.2501,134.986,
100000,2500000,2500000,560,20,11.0845,86.7427,12.8855,139.265,
100000,2500000,2500000,564,20,10.7451,85.8791,11.6545,136.449,
100000,2500000,2500000,568,20,11.9391,85.3885,12.2789,134.34,
100000,2500000,2500000,572,20,11.1458,84.546,13.0775,134.304,
100000,2500000,2500000,576,20,11.298,84.0765,12.6477,135.566,
100000,2500000,2500000,580,20,9.98112,83.3969,11.5895,133.255,
100000,2500000,2500000,584,20,11.8504,82.7282,10.825,133.76,
100000,2500000,2500000,588,20,10.2424,82.09,12.6032,130.172,
100000,2500000,2500000,592,20,10.4896,81.6697,13.008,131.436,
100000,2500000,2500000,596,20,10.567,80.9814,12.4154,130.643,
100000,2500000,2500000,600,20,10.6048,80.287,12.6449,131.592,
100000,2500000,2500000,604,20,10.831,79.6497,12.2265,128.061,
100000,2500000,2500000,608,20,10.4095,79.5286,12.464,128.642,
100000,2500000,2500000,612,20,10.4417,78.5156,12.4343,126.007,
100000,2500000,2500000,616,20,10.2126,78.3069,13.1651,124.654,
100000,2500000,2500000,620,20,11.7665,77.683,14.0956,122.03,
100000,2500000,2500000,624,20,10.8979,77.2031,12.0768,125.469,
100000,2500000,2500000,628,20,10.1983,78.0344,12.7138,127.73,
100000,2500000,2500000,632,20,9.36499,76.0747,12.0015,122.467,
100000,2500000,2500000,636,20,11.1181,75.6445,13.3513,123.296,
100000,2500000,2500000,640,20,11.1341,75.0711,12.2818,123.292,
100000,2500000,2500000,644,20,11.3071,74.5425,12.5696,120.517,
100000,2500000,2500000,648,20,10.4142,74.13,12.4267,120.884,
100000,2500000,2500000,652,20,11.9844,73.5407,12.5424,120.178,
100000,2500000,2500000,656,20,10.2817,73.347,12.9904,119.163,
100000,2500000,2500000,660,20,10.86,72.6699,12.8101,118.939,
100000,2500000,2500000,664,20,11.5664,72.2281,12.4679,119.456,
100000,2500000,2500000,668,20,11.3261,71.6196,11.5212,117.843,
100000,2500000,2500000,672,20,10.1724,71.3243,12.2231,117.864,
100000,2500000,2500000,676,20,11.314,70.7485,12.5465,116.087,
100000,2500000,2500000,680,20,11.5339,70.3446,12.1941,117.92,
100000,2500000,2500000,684,20,11.3099,69.8628,13.7716,115.041,
100000,2500000,2500000,688,20,10.9638,69.5043,11.9958,115.658,
100000,2500000,2500000,692,20,10.4879,69.0116,11.791,113.414,
100000,2500000,2500000,696,20,10.5662,68.6519,12.3632,113.68,
100000,2500000,2500000,700,20,11.0343,68.2524,13.3171,112.612,
100000,2500000,2500000,704,20,10.0897,67.7612,12.8687,112.949,
100000,2500000,2500000,708,20,10.8032,67.3625,12.3517,112.182,
100000,2500000,2500000,712,20,11.2303,67.0209,11.8394,111.985,
100000,2500000,2500000,716,20,11.2995,66.5301,13.3305,110.108,
100000,2500000,2500000,720,20,10.5978,66.2048,11.6139,109.698,
100000,2500000,2500000,724,20,10.3229,65.818,11.9251,109.727,
100000,2500000,2500000,728,20,10.0716,65.4718,12.3478,108.005,
100000,2500000,2500000,732,20,10.0133,65.0534,11.9959,108.786,
100000,2500000,2500000,736,20,11.368,64.7431,11.8104,107.941,
100000,2500000,2500000,740,20,11.2589,64.2493,12.0635,107.588,
100000,2500000,2500000,744,20,9.23354,64.1063,12.5538,107.171,
