initial_tree_size,num_insertions,num_range_query,average_range_length,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
40000000,2500000,2500000,380,20,329.743,93.2279,360.339,145.654,
40000000,2500000,2500000,384,20,332.386,92.8933,358.887,142.513,
40000000,2500000,2500000,388,20,321.203,91.7003,356.454,140.599,
40000000,2500000,2500000,392,20,329.619,91.3726,358.265,140.643,
40000000,2500000,2500000,396,20,311.838,90.27,363.352,140.697,
40000000,2500000,2500000,400,20,325.719,90.4116,361.376,139.91,
40000000,2500000,2500000,404,20,330.067,88.259,362.702,138.887,
40000000,2500000,2500000,408,20,328.769,89.839,355.677,136.385,
40000000,2500000,2500000,412,20,327.942,87.242,355.367,136.117,
40000000,2500000,2500000,416,20,326.189,86.5344,349.243,132.747,
40000000,2500000,2500000,420,20,329.535,87.5703,361.493,134.078,
40000000,2500000,2500000,424,20,240.89,86.2576,352.499,131.869,
40000000,2500000,2500000,428,20,311.298,86.3615,362.242,132.356,
40000000,2500000,2500000,432,20,321.269,85.3524,346.068,127.5,
40000000,2500000,2500000,436,20,329.962,84.1718,356.202,128.527,
40000000,2500000,2500000,440,20,324.515,84.3015,355.637,127.409,
40000000,2500000,2500000,444,20,325.193,83.7114,361.411,127.74,
40000000,2500000,2500000,448,20,330.894,82.6293,347.602,125.13,
40000000,2500000,2500000,452,20,328.838,80.8625,360.633,125.247,
40000000,2500000,2500000,456,20,284.684,81.7205,353.419,123.32,
40000000,2500000,2500000,460,20,325.99,80.7264,362.438,123.738,
40000000,2500000,2500000,464,20,329.424,79.8542,355.482,122.934,
40000000,2500000,2500000,468,20,328.831,79.3172,361.243,122.344,
40000000,2500000,2500000,472,20,329.636,79.464,352.219,120.326,
40000000,2500000,2500000,476,20,329.766,79.0498,254.376,120.77,
40000000,2500000,2500000,480,20,326.997,77.5132,353.491,118.885,
40000000,2500000,2500000,484,20,239.806,77.9347,351.432,117.798,
40000000,2500000,2500000,488,20,330.418,77.3254,349.28,116.708,
40000000,2500000,2500000,492,20,321.537,76.1849,348.673,115.787,
40000000,2500000,2500000,496,20,324.269,76.3113,357.054,115.512,
40000000,2500000,2500000,500,20,326.504,74.8512,351.383,115.198,
40000000,2500000,2500000,504,20,327.64,75.2537,356.622,113.955,
40000000,2500000,2500000,508,20,326.644,74.6444,358.835,114.204,
40000000,2500000,2500000,512,20,328.991,74.2965,359.059,113.01,
40000000,2500000,2500000,516,20,325.532,73.3447,355.699,112.896,
40000000,2500000,2500000,520,20,327,72.7177,357.518,111.087,
40000000,2500000,2500000,524,20,313.959,72.8196,358.304,110.24,
40000000,2500000,2500000,528,20,314.121,72.3003,313.153,109.889,
40000000,2500000,2500000,532,20,275.674,70.8818,360.914,109.507,
40000000,2500000,2500000,536,20,326.836,70.4527,359.535,108.581,
40000000,2500000,2500000,540,20,334.705,71.6556,366.416,109.043,
40000000,2500000,2500000,544,20,172.711,70.5714,351.763,106.498,
40000000,2500000,2500000,548,20,328.45,69.8842,360.653,106.613,
40000000,2500000,2500000,552,20,328.266,69.5268,347.914,105.049,
