initial_tree_size,num_insertions,num_range_query,average_range_length,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
1000100,2500000,2500000,4,20,93.4786,135.642,93.6085,236.109,
1000100,2500000,2500000,8,20,94.5135,133.232,100.758,227.873,
1000100,2500000,2500000,12,20,87.0995,135.588,98.0376,226.43,
1000100,2500000,2500000,16,20,87.5104,132.527,101.907,218.462,
1000100,2500000,2500000,20,20,91.0851,119.444,99.5997,221.548,
1000100,2500000,2500000,24,20,89.9973,124.961,102.693,214.773,
1000100,2500000,2500000,28,20,89.3751,126.229,99.8191,209.57,
1000100,2500000,2500000,32,20,92.838,128.142,96.0405,222.809,
1000100,2500000,2500000,36,20,87.1318,126.179,97.8725,225.957,
1000100,2500000,2500000,40,20,88.2629,127.92,89.6874,233.351,
1000100,2500000,2500000,44,20,90.5816,116.247,101.306,235.304,
1000100,2500000,2500000,48,20,88.0032,120.876,101.795,204.252,
1000100,2500000,2500000,52,20,88.4259,119.991,97.3162,201.762,
1000100,2500000,2500000,56,20,88.0699,121.852,93.5803,209.701,
1000100,2500000,2500000,60,20,91.0049,112.476,91.4292,209.322,
1000100,2500000,2500000,64,20,90.8352,121.102,97.4001,209.634,
1000100,2500000,2500000,68,20,86.1845,119.3,91.623,215.837,
1000100,2500000,2500000,72,20,87.3957,110.951,97.1019,190.534,
1000100,2500000,2500000,76,20,80.9378,115.76,102.881,206.239,
1000100,2500000,2500000,80,20,86.258,111.082,95.1576,197.506,
1000100,2500000,2500000,84,20,90.4742,113.576,100.541,218.822,
1000100,2500000,2500000,88,20,87.6561,112.236,81.5678,207.918,
1000100,2500000,2500000,92,20,93.3803,113.423,97.243,192.259,
1000100,2500000,2500000,96,20,89.282,114.058,100.877,193.34,
1000100,2500000,2500000,100,20,86.5327,106.924,101.474,199.098,
1000100,2500000,2500000,104,20,93.6804,109.44,91.0978,213.301,
1000100,2500000,2500000,108,20,94.1023,108.208,91.1906,205.998,
1000100,2500000,2500000,112,20,93.5404,106.808,94.7846,185.04,
1000100,2500000,2500000,116,20,88.2569,105.153,98.0627,205.557,
1000100,2500000,2500000,120,20,90.2702,106.706,100.621,181.057,
1000100,2500000,2500000,124,20,85.1402,105.134,95.6057,189.956,
1000100,2500000,2500000,128,20,87.5449,102.927,100.674,187.329,
1000100,2500000,2500000,132,20,89.5653,105.308,100.666,161.297,
1000100,2500000,2500000,136,20,89.9787,99.7279,102.22,179.628,
1000100,2500000,2500000,140,20,86.751,100.33,101.003,185.479,
1000100,2500000,2500000,144,20,88.2494,102.195,97.1966,183.487,
1000100,2500000,2500000,148,20,82.5154,99.1233,99.587,179.836,
1000100,2500000,2500000,152,20,90.2869,102.042,94.5822,173.145,
1000100,2500000,2500000,156,20,95.5309,99.236,103.747,171.257,
1000100,2500000,2500000,160,20,85.8391,95.5831,100.655,171.72,
1000100,2500000,2500000,164,20,79.9964,98.1596,95.0747,162.322,
1000100,2500000,2500000,168,20,92.8667,98.5966,93.5924,165.318,
1000100,2500000,2500000,172,20,95.8069,95.372,89.4062,165.724,
1000100,2500000,2500000,176,20,87.7672,96.7229,98.654,152.273,
1000100,2500000,2500000,180,20,90.8741,93.1807,96.2801,155.952,
1000100,2500000,2500000,184,20,94.4144,92.9584,95.7599,149.811,
1000100,2500000,2500000,188,20,91.8613,95.7484,98.3317,146.753,
1000100,2500000,2500000,192,20,86.4519,92.0527,102.856,134.827,
1000100,2500000,2500000,196,20,93.4214,91.5414,92.5297,140.983,
1000100,2500000,2500000,200,20,87.1501,93.0923,101.434,136.857,
1000100,2500000,2500000,204,20,92.7392,91.6694,102.627,131.101,
1000100,2500000,2500000,208,20,86.4175,89.0666,104.655,143.196,
1000100,2500000,2500000,212,20,84.3607,92.3503,94.2891,139.459,
1000100,2500000,2500000,216,20,84.6022,86.923,99.4567,140.29,
1000100,2500000,2500000,220,20,90.2131,91.081,95.675,136.449,
1000100,2500000,2500000,224,20,84.237,90.1508,93.9227,130.226,
1000100,2500000,2500000,228,20,89.2465,85.4208,103.642,129.309,
1000100,2500000,2500000,232,20,97.5163,88.372,97.0367,126.268,
1000100,2500000,2500000,236,20,92.6816,86.6586,90.4432,124.474,
1000100,2500000,2500000,240,20,91.1017,86.9444,103.616,124.035,
1000100,2500000,2500000,244,20,83.6189,88.3662,103.354,117.784,
1000100,2500000,2500000,248,20,91.1706,85.297,98.6346,118.318,
1000100,2500000,2500000,252,20,88.1936,84.0834,99.5023,126.773,
1000100,2500000,2500000,256,20,91.0592,87.1148,94.3278,125.453,
1000100,2500000,2500000,260,20,93.009,83.5011,108.336,123.966,
1000100,2500000,2500000,264,20,89.2225,84.076,106.823,122.958,
1000100,2500000,2500000,268,20,85.2539,82.4703,97.2992,121.023,
1000100,2500000,2500000,272,20,87.9102,83.0513,101.682,118.454,
1000100,2500000,2500000,276,20,91.5646,79.7437,98.1139,112.79,
1000100,2500000,2500000,280,20,95.6029,81.6384,98.5729,109.466,
1000100,2500000,2500000,284,20,87.2922,81.0822,101.751,103.897,
1000100,2500000,2500000,288,20,91.7577,79.3497,103.8,111.21,
1000100,2500000,2500000,292,20,90.5098,78.2617,104.307,110.307,
1000100,2500000,2500000,296,20,85.5605,76.5304,102.933,110.074,
1000100,2500000,2500000,300,20,94.4788,76.064,95.0479,106.552,
1000100,2500000,2500000,304,20,91.7577,75.9925,96.7306,110.932,
1000100,2500000,2500000,308,20,94.4463,75.667,100.931,104.851,
1000100,2500000,2500000,312,20,89.5304,72.6618,102.258,104.999,
1000100,2500000,2500000,316,20,83.8238,74.529,91.8173,105.19,
1000100,2500000,2500000,320,20,91.6441,71.6939,102.985,103.75,
1000100,2500000,2500000,324,20,88.4644,72.8012,99.397,104.747,
1000100,2500000,2500000,328,20,87.4509,70.3381,101.551,102.97,
1000100,2500000,2500000,332,20,101.327,69.9509,98.6949,100.833,
1000100,2500000,2500000,336,20,81.178,71.3085,105.058,98.4253,
1000100,2500000,2500000,340,20,91.9487,71.0339,97.7237,98.006,
