initial_tree_size,num_updates,num_queries,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
45000000,900000,100000,20,318.384,285.015,358.184,347.234,
45000000,1800000,200000,20,329.838,370.369,355.247,434.573,
45000000,2700000,300000,20,333.917,409.197,358.915,485.538,
45000000,3600000,400000,20,327.789,431.508,301.255,510.164,
45000000,4500000,500000,20,332.109,430.613,348.422,510.947,
45000000,5400000,600000,20,328.385,436.235,362.269,529.723,
45000000,6300000,700000,20,333.441,451.897,362.157,553.658,
45000000,7200000,800000,20,329.897,446.338,355.569,548.477,
45000000,8100000,900000,20,324.355,437.755,354.952,540.829,
45000000,9000000,1000000,20,326.814,455.659,358.98,556.409,
45000000,9900000,1100000,20,329.367,452.205,359.335,549.669,
45000000,10800000,1200000,20,329.827,474.214,210.863,578.464,
45000000,11700000,1300000,20,326.282,475.696,353.803,561.639,
45000000,12600000,1400000,20,334.437,474.379,360.407,575.061,
45000000,13500000,1500000,20,332.868,460.477,363.609,587.868,
45000000,14400000,1600000,20,331.472,470.097,357.622,567.561,
45000000,15300000,1700000,20,324.244,455.905,351.212,555.114,
45000000,16200000,1800000,20,281.316,475.409,329.194,568.966,
45000000,17100000,1900000,20,328.744,484.448,356.066,579.263,
45000000,18000000,2000000,20,333.804,491.99,365.425,591.427,
45000000,18900000,2100000,20,335.017,484.038,362.15,573.433,
45000000,19800000,2200000,20,331.144,469.774,357.572,583.283,
45000000,20700000,2300000,20,328.839,483.97,357.057,576.904,
45000000,21600000,2400000,20,328.506,474.983,362.94,595.8,
45000000,22500000,2500000,20,331.426,492.096,314.435,566.491,
45000000,23400000,2600000,20,330.309,475.781,361.16,580.01,
45000000,24300000,2700000,20,323.571,456.687,343.348,549.605,
45000000,25200000,2800000,20,328.42,482.942,363.84,584.216,
45000000,26100000,2900000,20,289.248,475.899,364.998,600.965,
45000000,27000000,3000000,20,330.644,482.087,351.888,564.97,
45000000,27900000,3100000,20,327.728,478.655,319.823,575.846,
45000000,28800000,3200000,20,334.945,493.753,361.688,600.773,
45000000,29700000,3300000,20,322.674,465.282,354.067,580.876,
45000000,30600000,3400000,20,321.969,474.689,358.18,585.799,
45000000,31500000,3500000,20,328.154,488.746,360.931,581.452,
45000000,32400000,3600000,20,334.315,481.685,357.38,590.394,
45000000,33300000,3700000,20,328.743,476.98,360.941,583.659,
45000000,34200000,3800000,20,235.38,480.98,357.115,570.188,
45000000,35100000,3900000,20,304.985,414.332,361.861,579.134,
45000000,36000000,4000000,20,329.478,490.819,358.427,596.904,
45000000,36900000,4100000,20,329.615,486.585,353.773,564.619,
45000000,37800000,4200000,20,309.415,439.388,361.266,598.792,
45000000,38700000,4300000,20,327.297,485.601,354.97,561.538,
45000000,39600000,4400000,20,320.694,448.959,249.848,603.232,
45000000,40500000,4500000,20,314.828,451.83,329.481,605.12,
