initial_tree_size,num_updates,num_queries,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
45000000,500000,500000,20,325.776,284.376,358.529,357.29,
45000000,1000000,1000000,20,326.746,361.63,365.967,470.752,
45000000,1500000,1500000,20,323.878,383.567,316.238,506.424,
45000000,2000000,2000000,20,331.078,398.245,355.475,521.351,
45000000,2500000,2500000,20,326.229,419.579,357.508,565.743,
45000000,3000000,3000000,20,257.173,436.277,355.891,574.06,
45000000,3500000,3500000,20,325.533,413.005,360.142,573.348,
45000000,4000000,4000000,20,331.171,429.31,347.408,554.702,
45000000,4500000,4500000,20,333.65,443.449,357.965,583.373,
45000000,5000000,5000000,20,328.684,447.814,357.424,591.193,
45000000,5500000,5500000,20,328.504,464.141,361.198,607.401,
45000000,6000000,6000000,20,313.176,455.573,355.083,589.264,
45000000,6500000,6500000,20,329.836,470.018,270.933,612.575,
45000000,7000000,7000000,20,330.7,468.875,364.922,623.428,
45000000,7500000,7500000,20,328.374,433.364,352.154,601.096,
45000000,8000000,8000000,20,326.357,438.97,347.173,584.258,
45000000,8500000,8500000,20,328.603,423.467,355.423,586.381,
45000000,9000000,9000000,20,327.578,461.674,360.714,620.004,
45000000,9500000,9500000,20,288.066,461.787,360.77,619.743,
45000000,10000000,10000000,20,329.609,456.119,357.264,616.468,
45000000,10500000,10500000,20,327.329,485.745,360.683,611.255,
45000000,11000000,11000000,20,332.788,453.869,363.23,632.337,
45000000,11500000,11500000,20,331.54,452.701,357.035,606.91,
45000000,12000000,12000000,20,290.372,471.132,357.392,615.683,
45000000,12500000,12500000,20,326.918,462.602,364.015,611.863,
45000000,13000000,13000000,20,334.839,492.094,364.541,649.099,
45000000,13500000,13500000,20,327.73,454.88,361.235,620.93,
45000000,14000000,14000000,20,323.428,474.034,327.695,622.204,
45000000,14500000,14500000,20,331.472,476.695,362.805,636.575,
45000000,15000000,15000000,20,332.812,493.495,359.761,624.774,
45000000,15500000,15500000,20,331.975,446.97,363.038,640.676,
45000000,16000000,16000000,20,328.671,459.898,362.089,625.536,
45000000,16500000,16500000,20,326.467,443.74,353.381,591.625,
45000000,17000000,17000000,20,329.12,455.132,353.168,605.447,
45000000,17500000,17500000,20,329.494,451.116,344.385,590.552,
45000000,18000000,18000000,20,332.708,473.975,355.662,614.024,
45000000,18500000,18500000,20,330.844,434.629,347.471,586.758,
45000000,19000000,19000000,20,326.698,448.082,357.928,615.518,
45000000,19500000,19500000,20,330.075,491.7,361.924,610.565,
45000000,20000000,20000000,20,319.409,432.38,349.641,600.687,
45000000,20500000,20500000,20,332.27,492.557,361.745,641.279,
45000000,21000000,21000000,20,321.862,455.686,353.787,608.802,
45000000,21500000,21500000,20,329.216,503.438,320.915,624.093,
45000000,22000000,22000000,20,333.774,498.537,360.989,633.139,
45000000,22500000,22500000,20,332.334,470.479,354.849,614.573,
