initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
1000000,900000,100000,20,73.5472,77.1764,86.7876,173.815,
1000000,1800000,200000,20,74.1175,80.847,86.36,189.895,
1000000,2700000,300000,20,75.7548,83.6671,85.6979,193.109,
1000000,3600000,400000,20,71.0883,86.3218,81.5775,192.861,
1000000,4500000,500000,20,80.7722,87.0225,78.9476,197.313,
1000000,5400000,600000,20,75.9418,87.8371,82.7507,199.571,
1000000,6300000,700000,20,77.2993,88.3236,86.7175,198.879,
1000000,7200000,800000,20,75.0421,88.5012,85.8961,203.341,
1000000,8100000,900000,20,82.9856,89.0848,85.0741,201.93,
1000000,9000000,1000000,20,80.5442,88.9196,79.1713,203.947,
1000000,9900000,1100000,20,77.4466,88.8085,87.8666,202.994,
1000000,10800000,1200000,20,78.3947,89.0478,83.7894,208.086,
1000000,11700000,1300000,20,77.0108,89.1476,79.5302,208.024,
1000000,12600000,1400000,20,76.393,89.2959,83.8128,207.84,
1000000,13500000,1500000,20,78.13,89.235,81.7144,207.419,
1000000,14400000,1600000,20,80.8473,89.4621,85.1165,207.495,
1000000,15300000,1700000,20,75.9496,89.4225,79.1097,209.431,
1000000,16200000,1800000,20,74.2763,89.542,86.6121,209.291,
1000000,17100000,1900000,20,77.8241,89.4393,83.0868,209.628,
1000000,18000000,2000000,20,76.3501,89.6223,79.7477,208.787,
1000000,18900000,2100000,20,75.9509,89.5928,81.4021,208.423,
1000000,19800000,2200000,20,73.253,89.6956,81.9077,206.643,
1000000,20700000,2300000,20,84.2344,89.8603,85.1506,207.379,
1000000,21600000,2400000,20,76.769,89.8632,84.7039,209.267,
1000000,22500000,2500000,20,72.6874,89.7237,83.4907,209.626,
1000000,23400000,2600000,20,76.1998,89.9504,85.0955,208.669,
1000000,24300000,2700000,20,68.6699,90.0083,85.4262,208.891,
1000000,25200000,2800000,20,77.5715,90.1212,85.8019,208.669,
1000000,26100000,2900000,20,75.0259,90.0345,85.9195,209.314,
1000000,27000000,3000000,20,78.899,90.2012,91.5975,209.506,
1000000,27900000,3100000,20,78.2934,90.2313,86.1639,210.227,
1000000,28800000,3200000,20,70.5243,90.1177,85.5783,209.092,
1000000,29700000,3300000,20,77.9429,90.1798,80.8056,207.763,
1000000,30600000,3400000,20,78.1261,90.2994,82.4278,210.083,
1000000,31500000,3500000,20,79.7406,90.3111,78.8188,209.018,
1000000,32400000,3600000,20,75.3766,90.2703,79.737,209.63,
1000000,33300000,3700000,20,74.353,90.4326,79.4186,210.34,
1000000,34200000,3800000,20,76.3603,90.4606,90.184,210.306,
1000000,35100000,3900000,20,77.1674,90.5082,87.3451,208.275,
1000000,36000000,4000000,20,76.4528,90.3771,83.8923,210.373,
1000000,36900000,4100000,20,79.365,90.534,85.4215,210.484,
1000000,37800000,4200000,20,81.9479,90.453,86.754,207.486,
1000000,38700000,4300000,20,78.4894,90.526,78.4238,210.193,
1000000,39600000,4400000,20,76.2148,90.5697,85.4813,210.448,
1000000,40500000,4500000,20,74.8539,90.6071,86.4022,210.195,
