initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
40000000,500000,500000,20,248.561,107.037,273.834,197.083,
40000000,1000000,1000000,20,246.742,110.039,271.946,199.866,
40000000,1500000,1500000,20,246.677,110.849,270.669,203.297,
40000000,2000000,2000000,20,246.676,111.058,275.077,207.274,
40000000,2500000,2500000,20,248.112,110.911,274.788,206.728,
40000000,3000000,3000000,20,248.175,111.445,274.757,208.092,
40000000,3500000,3500000,20,248.357,111.794,274.249,205.722,
40000000,4000000,4000000,20,246.654,111.739,275.01,206.689,
40000000,4500000,4500000,20,247.105,111.707,273.582,204.47,
40000000,5000000,5000000,20,248.36,111.721,271.848,204.119,
40000000,5500000,5500000,20,247.728,111.998,276.852,206.104,
40000000,6000000,6000000,20,245.977,112.298,272.951,205.367,
40000000,6500000,6500000,20,248.606,112.943,274.484,205.804,
40000000,7000000,7000000,20,248.402,113.08,274.573,204.579,
40000000,7500000,7500000,20,247.28,112.947,273.178,204.506,
40000000,8000000,8000000,20,248.397,113.276,274.089,204.537,
40000000,8500000,8500000,20,247.699,113.66,274.021,204.717,
40000000,9000000,9000000,20,245.949,113.529,274.115,205.329,
40000000,9500000,9500000,20,243.859,113.84,273.507,205.073,
40000000,10000000,10000000,20,247.743,113.67,272.574,203.528,
40000000,10500000,10500000,20,244.731,113.978,274.409,204.849,
40000000,11000000,11000000,20,247.9,114.32,274.638,203.946,
40000000,11500000,11500000,20,246.742,114.29,272.266,203.817,
40000000,12000000,12000000,20,244.848,114.39,271.623,205.783,
40000000,12500000,12500000,20,246.476,114.547,274.397,205.674,
40000000,13000000,13000000,20,246.86,114.604,273.421,203.872,
40000000,13500000,13500000,20,249.867,114.652,274.547,203.972,
40000000,14000000,14000000,20,248.916,114.647,268.121,200.407,
40000000,14500000,14500000,20,245.983,114.478,272.652,205.111,
40000000,15000000,15000000,20,247.765,114.66,272.186,203.159,
40000000,15500000,15500000,20,247.555,114.934,273.341,204.5,
40000000,16000000,16000000,20,246.281,114.752,269.331,203.575,
40000000,16500000,16500000,20,247.281,114.867,273.005,206.196,
40000000,17000000,17000000,20,247.3,114.918,272.266,203.913,
40000000,17500000,17500000,20,245.919,115.026,273.625,205.119,
40000000,18000000,18000000,20,247.27,115.054,272.955,206.097,
40000000,18500000,18500000,20,246.617,115.211,275.48,207.563,
40000000,19000000,19000000,20,248.29,115.12,273.996,207.114,
40000000,19500000,19500000,20,248.577,115.225,273.539,206.696,
40000000,20000000,20000000,20,247.686,115.186,273.701,206.071,
40000000,20500000,20500000,20,245.674,115.047,273.646,205.39,
40000000,21000000,21000000,20,246.934,115.196,272.986,204.282,
40000000,21500000,21500000,20,246.791,115.1,271.309,206.227,
40000000,22000000,22000000,20,248.108,115.258,273.008,204.869,
40000000,22500000,22500000,20,246.165,115.267,274.305,206.372,
