initial_tree_size,num_insertions,num_range_query,num_experiments,epoch_number,pointers_count,pointers_allocated_total,ratio,tree_gibs,
45000000,2250000,42750000,1,0,5188800,5188800,1,0.618553,
45000000,2250000,42750000,1,1,5194006,5194006,1,0.619174,
45000000,2250000,42750000,1,2,5199073,5199073,1,0.619778,
45000000,2250000,42750000,1,3,5200108,5204042,0.999244,0.619901,
45000000,2250000,42750000,1,4,5200859,5208913,0.998454,0.619991,
45000000,2250000,42750000,1,5,5203802,5216498,0.997566,0.620342,
45000000,2250000,42750000,1,6,5206807,5223801,0.996747,0.6207,
45000000,2250000,42750000,1,7,5206435,5228167,0.995843,0.620655,
45000000,2250000,42750000,1,8,5206386,5233128,0.99489,0.62065,
45000000,2250000,42750000,1,9,5204447,5238549,0.99349,0.620418,
45000000,2250000,42750000,1,10,5204927,5242615,0.992811,0.620476,
45000000,2250000,42750000,1,11,5205362,5246640,0.992132,0.620528,
45000000,2250000,42750000,1,12,5205633,5251679,0.991232,0.62056,
45000000,2250000,42750000,1,13,5206072,5256014,0.990498,0.620612,
45000000,2250000,42750000,1,14,5208803,5262961,0.98971,0.620938,
45000000,2250000,42750000,1,15,5208135,5267041,0.988816,0.620858,
45000000,2250000,42750000,1,16,5209692,5272852,0.988022,0.621044,
45000000,2250000,42750000,1,17,5208973,5277227,0.987066,0.620958,
45000000,2250000,42750000,1,18,5209136,5281376,0.986322,0.620977,
45000000,2250000,42750000,1,19,5210963,5287791,0.985471,0.621195,
45000000,2250000,42750000,1,20,5210850,5292550,0.984563,0.621182,
45000000,2250000,42750000,1,21,5211021,5296909,0.983785,0.621202,
45000000,2250000,42750000,1,22,5210640,5301598,0.982843,0.621157,
45000000,2250000,42750000,1,23,5210638,5306006,0.982026,0.621156,
45000000,2250000,42750000,1,24,5210254,5310058,0.981205,0.621111,
45000000,2250000,42750000,1,25,5210921,5314305,0.980546,0.62119,
45000000,2250000,42750000,1,26,5211498,5319256,0.979742,0.621259,
45000000,2250000,42750000,1,27,5212009,5323991,0.978967,0.62132,
45000000,2250000,42750000,1,28,5212438,5328760,0.978171,0.621371,
45000000,2250000,42750000,1,29,5214388,5335320,0.977334,0.621603,
45000000,2250000,42750000,1,30,5216557,5342057,0.976507,0.621862,
45000000,2250000,42750000,1,31,5217278,5346386,0.975851,0.621948,
45000000,2250000,42750000,1,32,5217172,5352298,0.974754,0.621935,
45000000,2250000,42750000,1,33,5216037,5356731,0.973735,0.6218,
45000000,2250000,42750000,1,34,5215920,5361192,0.972903,0.621786,
45000000,2250000,42750000,1,35,5216624,5365826,0.972194,0.62187,
45000000,2250000,42750000,1,36,5216378,5370346,0.97133,0.621841,
45000000,2250000,42750000,1,37,5217212,5375594,0.970537,0.62194,
45000000,2250000,42750000,1,38,5217087,5380283,0.969668,0.621925,
45000000,2250000,42750000,1,39,5217432,5384586,0.968957,0.621966,
45000000,2250000,42750000,1,40,5217320,5388782,0.968182,0.621953,
45000000,2250000,42750000,1,41,5217445,5393185,0.967414,0.621968,
45000000,2250000,42750000,1,42,5217950,5397322,0.966766,0.622028,
45000000,2250000,42750000,1,43,5218017,5401643,0.966006,0.622036,
45000000,2250000,42750000,1,44,5218581,5406321,0.965274,0.622103,
45000000,2250000,42750000,1,45,5219467,5411215,0.964565,0.622209,
45000000,2250000,42750000,1,46,5219756,5415108,0.963925,0.622243,
45000000,2250000,42750000,1,47,5219787,5418979,0.963242,0.622247,
45000000,2250000,42750000,1,48,5222782,5426280,0.962498,0.622604,
45000000,2250000,42750000,1,49,5222721,5430493,0.96174,0.622597,
45000000,2250000,42750000,1,50,5222942,5435140,0.960958,0.622623,
45000000,2250000,42750000,1,51,5221179,5439641,0.959839,0.622413,
45000000,2250000,42750000,1,52,5221654,5444168,0.959128,0.62247,
45000000,2250000,42750000,1,53,5224091,5451001,0.958373,0.62276,
45000000,2250000,42750000,1,54,5224179,5455181,0.957655,0.622771,
45000000,2250000,42750000,1,55,5224899,5460147,0.956915,0.622856,
45000000,2250000,42750000,1,56,5224550,5464420,0.956103,0.622815,
45000000,2250000,42750000,1,57,5224254,5469130,0.955226,0.62278,
45000000,2250000,42750000,1,58,5224365,5473691,0.95445,0.622793,
45000000,2250000,42750000,1,59,5226085,5479655,0.953725,0.622998,
