initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
40000000,900000,100000,20,256.384,82.414,286.629,147.412,
40000000,1800000,200000,20,258.544,90.1757,287.402,198.744,
40000000,2700000,300000,20,259.113,89.716,285.632,212.761,
40000000,3600000,400000,20,258.311,92.0872,288.54,215.539,
40000000,4500000,500000,20,255.833,93.1171,284.412,216.115,
40000000,5400000,600000,20,259.517,94.1664,286.181,202.104,
40000000,6300000,700000,20,257.643,94.2014,290.581,216.246,
40000000,7200000,800000,20,258.362,94.2632,287.23,221.149,
40000000,8100000,900000,20,255.601,94.7098,286.751,214.608,
40000000,9000000,1000000,20,256.417,95.4796,286.683,223.14,
40000000,9900000,1100000,20,260.047,95.6034,289.042,220.657,
40000000,10800000,1200000,20,256.885,95.1865,288.459,223.696,
40000000,11700000,1300000,20,256.318,95.2771,284.411,223.373,
40000000,12600000,1400000,20,257.691,95.3271,288.532,224.668,
40000000,13500000,1500000,20,258.564,96.0549,287.344,225.814,
40000000,14400000,1600000,20,256.966,96.1615,289.366,225.127,
40000000,15300000,1700000,20,258.569,96.3268,286.473,221.798,
40000000,16200000,1800000,20,259.331,96.3243,288.435,224.436,
40000000,17100000,1900000,20,258.209,96.0501,289.074,225.642,
40000000,18000000,2000000,20,259.037,96.3925,284.956,225.226,
40000000,18900000,2100000,20,256.23,96.4775,287.017,226.456,
40000000,19800000,2200000,20,258.082,96.2549,288.466,226.217,
40000000,20700000,2300000,20,256.584,96.4817,285.406,227.709,
40000000,21600000,2400000,20,257.262,96.4834,289.164,228.924,
40000000,22500000,2500000,20,255.435,96.4775,286.177,228.925,
40000000,23400000,2600000,20,257.557,96.3801,284.185,229.287,
40000000,24300000,2700000,20,257.781,96.8237,287.877,226.104,
40000000,25200000,2800000,20,254.958,94.9582,284.986,228.709,
40000000,26100000,2900000,20,255.872,96.8064,285.289,229.818,
40000000,27000000,3000000,20,257.816,96.6462,287.427,230.812,
40000000,27900000,3100000,20,258.133,96.9908,288.525,231.197,
40000000,28800000,3200000,20,257.615,96.6932,285.974,230.888,
40000000,29700000,3300000,20,256.88,96.753,288.65,231.501,
40000000,30600000,3400000,20,256.659,96.8624,286.727,231.285,
40000000,31500000,3500000,20,257.247,96.9195,288.471,232.521,
40000000,32400000,3600000,20,258.102,96.9098,284.385,231.234,
40000000,33300000,3700000,20,257.223,96.9497,286.029,231.668,
40000000,34200000,3800000,20,259.422,96.9835,288.298,232.463,
40000000,35100000,3900000,20,258.357,96.9801,288.136,232.815,
40000000,36000000,4000000,20,257.007,96.7504,285.309,232.186,
40000000,36900000,4100000,20,258.82,96.9294,287.927,233.345,
40000000,37800000,4200000,20,257.543,96.881,286.279,231.978,
40000000,38700000,4300000,20,258.481,96.9191,287.588,233.973,
40000000,39600000,4400000,20,257.337,96.8406,288.313,232.9,
40000000,40500000,4500000,20,259.504,96.8443,288.295,234.104,
