initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
1000000,900000,100000,20,86.1903,73.6984,92.3828,174.399,
1000000,1800000,200000,20,82.6745,72.6916,87.2253,144.193,
1000000,2700000,300000,20,80.9256,90.5996,93.6212,164.358,
1000000,3600000,400000,20,80.5363,89.1827,86.4915,202.532,
1000000,4500000,500000,20,80.0778,91.2111,86.8314,202.038,
1000000,5400000,600000,20,81.5364,93.8267,86.3563,208.525,
1000000,6300000,700000,20,78.6276,95.2347,90.0567,209.174,
1000000,7200000,800000,20,86.1559,96.2049,91.308,210.137,
1000000,8100000,900000,20,77.9169,95.231,86.4356,204.932,
1000000,9000000,1000000,20,80.5484,95.8384,88.6898,218.737,
1000000,9900000,1100000,20,79.5275,95.6315,82.8249,205.244,
1000000,10800000,1200000,20,81.1694,95.0628,92.2408,227.994,
1000000,11700000,1300000,20,83.3077,96.5011,89.298,223.714,
1000000,12600000,1400000,20,80.3893,96.2117,90.248,223.721,
1000000,13500000,1500000,20,83.0924,96.33,83.8967,225.821,
1000000,14400000,1600000,20,78.1765,96.4349,89.4002,222.03,
1000000,15300000,1700000,20,85.01,96.2606,90.2863,221.313,
1000000,16200000,1800000,20,83.4557,97.1176,90.7125,226.934,
1000000,17100000,1900000,20,75.9546,97.2962,86.9777,232.725,
1000000,18000000,2000000,20,86.8108,95.6808,91.9445,230.844,
1000000,18900000,2100000,20,78.6882,96.5017,90.7489,223.744,
1000000,19800000,2200000,20,77.7422,96.3059,89.7067,228.199,
1000000,20700000,2300000,20,82.136,96.9127,87.6189,230.937,
1000000,21600000,2400000,20,82.0245,97.1969,83.5045,227.964,
1000000,22500000,2500000,20,81.4325,97.4773,83.0379,232.583,
1000000,23400000,2600000,20,81.8263,97.1573,82.9677,232.185,
1000000,24300000,2700000,20,82.3145,97.5803,91.89,229.25,
1000000,25200000,2800000,20,81.2324,97.2916,87.686,230.143,
1000000,26100000,2900000,20,78.0571,97.3934,92.0671,230.671,
1000000,27000000,3000000,20,80.3049,97.1824,92.7012,231.916,
1000000,27900000,3100000,20,85.6991,97.6753,87.8163,235.665,
1000000,28800000,3200000,20,80.1897,97.6261,91.1083,231.794,
1000000,29700000,3300000,20,78.9758,97.4978,91.5559,236.048,
1000000,30600000,3400000,20,85.1578,97.9401,87.2838,233.827,
1000000,31500000,3500000,20,80.4763,97.4822,85.638,234.636,
1000000,32400000,3600000,20,79.3832,97.8181,89.8139,230.374,
1000000,33300000,3700000,20,87.4862,98.0579,92.8236,231.924,
1000000,34200000,3800000,20,80.2124,97.2504,89.3481,233.106,
1000000,35100000,3900000,20,77.5647,97.6632,82.3759,230.198,
1000000,36000000,4000000,20,86.8463,97.9886,85.7115,235.037,
1000000,36900000,4100000,20,76.1092,97.8083,87.5929,232.301,
1000000,37800000,4200000,20,79.0401,98.0128,89.2136,235.361,
1000000,38700000,4300000,20,82.1904,97.9688,90.5684,234.436,
1000000,39600000,4400000,20,81.1762,98.016,90.623,235.905,
1000000,40500000,4500000,20,78.6262,97.8795,86.2148,234.539,
