initial_tree_size,num_insertions,num_range_query,num_experiments,epoch_number,pointers_count,pointers_allocated_total,ratio,tree_gibs,
45000000,40500000,4500000,1,0,5189486,5189486,1,0.618635,
45000000,40500000,4500000,1,1,5323818,5323818,1,0.634649,
45000000,40500000,4500000,1,2,5446847,5446847,1,0.649315,
45000000,40500000,4500000,1,3,5472491,5550771,0.985897,0.652372,
45000000,40500000,4500000,1,4,5497373,5655895,0.971972,0.655338,
45000000,40500000,4500000,1,5,5510119,5768112,0.955273,0.656857,
45000000,40500000,4500000,1,6,5526694,5884270,0.939232,0.658833,
45000000,40500000,4500000,1,7,5547315,6003559,0.924004,0.661291,
45000000,40500000,4500000,1,8,5545644,6102538,0.908744,0.661092,
45000000,40500000,4500000,1,9,5540712,6205231,0.89291,0.660504,
45000000,40500000,4500000,1,10,5540766,6310796,0.877982,0.660511,
45000000,40500000,4500000,1,11,5549464,6412527,0.86541,0.661548,
45000000,40500000,4500000,1,12,5562107,6519955,0.85309,0.663055,
45000000,40500000,4500000,1,13,5575842,6628646,0.841174,0.664692,
45000000,40500000,4500000,1,14,5580599,6727850,0.829477,0.665259,
45000000,40500000,4500000,1,15,5588418,6833242,0.817828,0.666191,
45000000,40500000,4500000,1,16,5597874,6938330,0.806804,0.667319,
45000000,40500000,4500000,1,17,5608082,7039624,0.796645,0.668535,
45000000,40500000,4500000,1,18,5616650,7145497,0.78604,0.669557,
45000000,40500000,4500000,1,19,5633679,7259282,0.776066,0.671587,
45000000,40500000,4500000,1,20,5649369,7369493,0.766589,0.673457,
45000000,40500000,4500000,1,21,5667131,7486219,0.757008,0.675575,
45000000,40500000,4500000,1,22,5671652,7590884,0.747166,0.676114,
45000000,40500000,4500000,1,23,5668436,7688546,0.737257,0.67573,
45000000,40500000,4500000,1,24,5669709,7795415,0.727313,0.675882,
45000000,40500000,4500000,1,25,5685188,7906232,0.719077,0.677727,
45000000,40500000,4500000,1,26,5704650,8020767,0.711235,0.680047,
45000000,40500000,4500000,1,27,5719006,8129724,0.703469,0.681759,
45000000,40500000,4500000,1,28,5724940,8238414,0.694908,0.682466,
45000000,40500000,4500000,1,29,5730494,8348920,0.686375,0.683128,
45000000,40500000,4500000,1,30,5737827,8453941,0.678716,0.684002,
45000000,40500000,4500000,1,31,5736545,8550357,0.670913,0.683849,
45000000,40500000,4500000,1,32,5750589,8665161,0.663645,0.685524,
45000000,40500000,4500000,1,33,5763726,8774050,0.656906,0.68709,
45000000,40500000,4500000,1,34,5784407,8885763,0.650975,0.689555,
45000000,40500000,4500000,1,35,5785761,8992575,0.643393,0.689716,
45000000,40500000,4500000,1,36,5802072,9108259,0.637012,0.691661,
45000000,40500000,4500000,1,37,5806596,9214216,0.630178,0.6922,
45000000,40500000,4500000,1,38,5810195,9317364,0.623588,0.692629,
45000000,40500000,4500000,1,39,5822000,9433708,0.617149,0.694036,
45000000,40500000,4500000,1,40,5831697,9538333,0.611396,0.695192,
45000000,40500000,4500000,1,41,5844997,9648433,0.605798,0.696778,
45000000,40500000,4500000,1,42,5846149,9755536,0.599265,0.696915,
45000000,40500000,4500000,1,43,5856352,9859336,0.593991,0.698132,
45000000,40500000,4500000,1,44,5868729,9973407,0.588438,0.699607,
45000000,40500000,4500000,1,45,5881591,10082649,0.583338,0.70114,
45000000,40500000,4500000,1,46,5891348,10188348,0.578244,0.702303,
45000000,40500000,4500000,1,47,5897285,10301523,0.572467,0.703011,
45000000,40500000,4500000,1,48,5910220,10413264,0.567567,0.704553,
45000000,40500000,4500000,1,49,5921399,10519581,0.562893,0.705886,
45000000,40500000,4500000,1,50,5920112,10619820,0.557459,0.705732,
45000000,40500000,4500000,1,51,5922032,10726372,0.5521,0.705961,
45000000,40500000,4500000,1,52,5932591,10833576,0.547612,0.70722,
45000000,40500000,4500000,1,53,5949121,10942746,0.543659,0.70919,
45000000,40500000,4500000,1,54,5959694,11049421,0.539367,0.710451,
45000000,40500000,4500000,1,55,5965790,11152222,0.534942,0.711178,
45000000,40500000,4500000,1,56,5972409,11260437,0.530389,0.711967,
45000000,40500000,4500000,1,57,5989595,11376489,0.526489,0.714015,
45000000,40500000,4500000,1,58,6004462,11484397,0.522837,0.715788,
45000000,40500000,4500000,1,59,6018696,11599334,0.518883,0.717484,
45000000,40500000,4500000,1,60,6020365,11707601,0.514227,0.717683,
45000000,40500000,4500000,1,61,6024682,11808360,0.510205,0.718198,
45000000,40500000,4500000,1,62,6040895,11931119,0.506314,0.720131,
45000000,40500000,4500000,1,63,6046364,12032295,0.502511,0.720783,
45000000,40500000,4500000,1,64,6057379,12137855,0.499049,0.722096,
45000000,40500000,4500000,1,65,6053593,12243941,0.494415,0.721645,
45000000,40500000,4500000,1,66,6066460,12351988,0.491132,0.723178,
45000000,40500000,4500000,1,67,6080671,12462265,0.487927,0.724872,
45000000,40500000,4500000,1,68,6086566,12562583,0.4845,0.725575,
45000000,40500000,4500000,1,69,6093755,12670363,0.480946,0.726432,
45000000,40500000,4500000,1,70,6099519,12777742,0.477355,0.727119,
45000000,40500000,4500000,1,71,6117244,12886671,0.474695,0.729232,
45000000,40500000,4500000,1,72,6122134,12992016,0.471223,0.729815,
45000000,40500000,4500000,1,73,6133435,13100319,0.46819,0.731162,
45000000,40500000,4500000,1,74,6144760,13209916,0.465163,0.732512,
45000000,40500000,4500000,1,75,6159338,13320076,0.46241,0.73425,
45000000,40500000,4500000,1,76,6169413,13431093,0.459338,0.735451,
45000000,40500000,4500000,1,77,6184043,13546875,0.456492,0.737195,
45000000,40500000,4500000,1,78,6207616,13669820,0.454111,0.740005,
45000000,40500000,4500000,1,79,6207425,13772250,0.45072,0.739983,
45000000,40500000,4500000,1,80,6218727,13888351,0.447766,0.74133,
45000000,40500000,4500000,1,81,6211321,13992155,0.443915,0.740447,
45000000,40500000,4500000,1,82,6238652,14114388,0.442007,0.743705,
45000000,40500000,4500000,1,83,6238737,14220466,0.438715,0.743715,
45000000,40500000,4500000,1,84,6244909,14323881,0.435979,0.744451,
45000000,40500000,4500000,1,85,6235390,14420148,0.432408,0.743316,
45000000,40500000,4500000,1,86,6252041,14534603,0.430149,0.745301,
45000000,40500000,4500000,1,87,6272522,14650257,0.428151,0.747743,
45000000,40500000,4500000,1,88,6296006,14765630,0.426396,0.750542,
45000000,40500000,4500000,1,89,6312028,14885780,0.424031,0.752452,
