initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
1000000,500000,500000,20,82.0987,91.1668,89.9821,134.24,
1000000,1000000,1000000,20,84.09,113.923,88.2656,158.079,
1000000,1500000,1500000,20,79.3847,114.288,90.9401,159.986,
1000000,2000000,2000000,20,85.5136,112.834,84.8802,193.803,
1000000,2500000,2500000,20,75.9368,124.65,90.99,181.787,
1000000,3000000,3000000,20,77.4395,121.265,87.8693,197.382,
1000000,3500000,3500000,20,83.81,123.452,91.4952,186.969,
1000000,4000000,4000000,20,88.5567,128.233,86.3575,214.706,
1000000,4500000,4500000,20,76.8105,127.904,92.8479,207.707,
1000000,5000000,5000000,20,85.067,129.281,91.8284,205.28,
1000000,5500000,5500000,20,77.8114,128.689,86.5091,203.765,
1000000,6000000,6000000,20,77.1211,129.562,94.1912,219.072,
1000000,6500000,6500000,20,82.5108,128.294,90.6021,219.468,
1000000,7000000,7000000,20,78.5535,131.14,88.781,222.817,
1000000,7500000,7500000,20,79.8933,129.936,87.505,215.684,
1000000,8000000,8000000,20,81.6925,129.529,84.8021,224.397,
1000000,8500000,8500000,20,83.5179,131.024,87.1383,217.78,
1000000,9000000,9000000,20,83.5008,129.307,92.7162,219.505,
1000000,9500000,9500000,20,78.5416,131.175,89.1428,222.1,
1000000,10000000,10000000,20,77.8652,129.968,88.6441,217.357,
1000000,10500000,10500000,20,82.3564,130.043,89.0192,224.314,
1000000,11000000,11000000,20,86.9793,132.066,86.1748,218.107,
1000000,11500000,11500000,20,80.94,129.642,85.1284,226.711,
1000000,12000000,12000000,20,81.0042,131.083,85.4488,225.556,
1000000,12500000,12500000,20,83.4456,130.721,88.7782,227.313,
1000000,13000000,13000000,20,76.9784,131.427,89.5302,225.193,
1000000,13500000,13500000,20,81.0512,131.451,86.1866,224.077,
1000000,14000000,14000000,20,79.6025,131.758,86.4366,228.889,
1000000,14500000,14500000,20,83.5602,131.955,85.743,228.518,
1000000,15000000,15000000,20,78.664,131.868,89.8496,222.223,
1000000,15500000,15500000,20,78.405,131.999,84.1987,225.112,
1000000,16000000,16000000,20,80.0422,132.505,85.4832,223.876,
1000000,16500000,16500000,20,82.4622,132.672,97.2043,226.237,
1000000,17000000,17000000,20,78.5771,131.54,88.6931,225.857,
1000000,17500000,17500000,20,76.5719,133.089,85.4466,224.914,
1000000,18000000,18000000,20,73.4405,132.948,80.5383,222.755,
1000000,18500000,18500000,20,81.7363,133.429,93.5937,223.725,
1000000,19000000,19000000,20,79.3464,133.407,84.2248,229.054,
1000000,19500000,19500000,20,79.0518,133.538,88.6717,221.535,
1000000,20000000,20000000,20,77.1091,133.435,84.2734,224.652,
1000000,20500000,20500000,20,75.1064,133.04,84.5231,221.058,
1000000,21000000,21000000,20,79.1147,133.522,86.6885,227.701,
1000000,21500000,21500000,20,82.4399,133.904,87.4922,227.949,
1000000,22000000,22000000,20,85.1152,134.165,90.9029,228.297,
1000000,22500000,22500000,20,77.5045,133.783,86.933,226.616,
