initial_tree_size,num_insertions,num_range_query,num_experiments,epoch_number,pointers_count,pointers_allocated_total,ratio,tree_gibs,
45000000,40500000,4500000,1,0,5189623,5189623,1,0.618651,
45000000,40500000,4500000,1,1,5319728,5319749,0.999996,0.634161,
45000000,40500000,4500000,1,2,5426874,5426874,1,0.646934,
45000000,40500000,4500000,1,3,5459760,5537660,0.985933,0.650854,
45000000,40500000,4500000,1,4,5489914,5648890,0.971857,0.654449,
45000000,40500000,4500000,1,5,5517122,5762824,0.957364,0.657692,
45000000,40500000,4500000,1,6,5530093,5875135,0.941271,0.659238,
45000000,40500000,4500000,1,7,5538466,5986264,0.925196,0.660237,
45000000,40500000,4500000,1,8,5535356,6086366,0.909468,0.659866,
45000000,40500000,4500000,1,9,5543100,6197816,0.894363,0.660789,
45000000,40500000,4500000,1,10,5546511,6302681,0.880024,0.661196,
45000000,40500000,4500000,1,11,5561851,6411044,0.867542,0.663024,
45000000,40500000,4500000,1,12,5569182,6518358,0.854384,0.663898,
45000000,40500000,4500000,1,13,5571871,6617111,0.84204,0.664219,
45000000,40500000,4500000,1,14,5582138,6726266,0.829901,0.665443,
45000000,40500000,4500000,1,15,5592332,6832952,0.818436,0.666658,
45000000,40500000,4500000,1,16,5612762,6947076,0.807932,0.669093,
45000000,40500000,4500000,1,17,5621519,7057271,0.796557,0.670137,
45000000,40500000,4500000,1,18,5632662,7163029,0.786352,0.671466,
45000000,40500000,4500000,1,19,5630649,7265756,0.774957,0.671226,
45000000,40500000,4500000,1,20,5637754,7374132,0.764531,0.672073,
45000000,40500000,4500000,1,21,5645342,7477776,0.754949,0.672977,
45000000,40500000,4500000,1,22,5654632,7578542,0.746137,0.674085,
45000000,40500000,4500000,1,23,5654268,7675222,0.736691,0.674041,
45000000,40500000,4500000,1,24,5667351,7783051,0.728166,0.675601,
45000000,40500000,4500000,1,25,5690073,7899683,0.720291,0.67831,
45000000,40500000,4500000,1,26,5701091,8000137,0.712624,0.679623,
45000000,40500000,4500000,1,27,5716097,8114505,0.70443,0.681412,
45000000,40500000,4500000,1,28,5721055,8224875,0.69558,0.682003,
45000000,40500000,4500000,1,29,5730202,8328370,0.688034,0.683093,
45000000,40500000,4500000,1,30,5737837,8439783,0.679856,0.684003,
45000000,40500000,4500000,1,31,5738252,8540402,0.671895,0.684053,
45000000,40500000,4500000,1,32,5751238,8648152,0.665025,0.685601,
45000000,40500000,4500000,1,33,5760391,8758857,0.657665,0.686692,
45000000,40500000,4500000,1,34,5772144,8864086,0.651183,0.688093,
45000000,40500000,4500000,1,35,5784918,8976480,0.644453,0.689616,
45000000,40500000,4500000,1,36,5791113,9083209,0.637562,0.690354,
45000000,40500000,4500000,1,37,5796244,9184853,0.631066,0.690966,
45000000,40500000,4500000,1,38,5820213,9308540,0.625255,0.693823,
45000000,40500000,4500000,1,39,5838699,9423916,0.619562,0.696027,
45000000,40500000,4500000,1,40,5843484,9524004,0.613553,0.696598,
45000000,40500000,4500000,1,41,5842082,9635748,0.606293,0.69643,
45000000,40500000,4500000,1,42,5846514,9746519,0.599857,0.696959,
45000000,40500000,4500000,1,43,5871885,9865007,0.595224,0.699983,
45000000,40500000,4500000,1,44,5885118,9978210,0.589797,0.701561,
45000000,40500000,4500000,1,45,5896056,10092421,0.584206,0.702865,
45000000,40500000,4500000,1,46,5900724,10203449,0.578307,0.703421,
45000000,40500000,4500000,1,47,5896203,10301337,0.572373,0.702882,
45000000,40500000,4500000,1,48,5909619,10419387,0.567175,0.704481,
45000000,40500000,4500000,1,49,5923476,10533980,0.562321,0.706133,
45000000,40500000,4500000,1,50,5942039,10645514,0.558173,0.708346,
45000000,40500000,4500000,1,51,5940605,10750083,0.55261,0.708175,
45000000,40500000,4500000,1,52,5940587,10855205,0.547257,0.708173,
45000000,40500000,4500000,1,53,5956587,10973472,0.542817,0.710081,
45000000,40500000,4500000,1,54,5965449,11077639,0.538513,0.711137,
45000000,40500000,4500000,1,55,5982033,11190317,0.534572,0.713114,
45000000,40500000,4500000,1,56,5980039,11297105,0.529343,0.712876,
45000000,40500000,4500000,1,57,5988924,11401242,0.525287,0.713935,
45000000,40500000,4500000,1,58,5995280,11511008,0.52083,0.714693,
45000000,40500000,4500000,1,59,6013685,11625929,0.517265,0.716887,
45000000,40500000,4500000,1,60,6020260,11728389,0.513307,0.717671,
45000000,40500000,4500000,1,61,6032479,11840220,0.50949,0.719128,
45000000,40500000,4500000,1,62,6026451,11939673,0.504742,0.718409,
45000000,40500000,4500000,1,63,6037559,12042544,0.501352,0.719733,
45000000,40500000,4500000,1,64,6037346,12144386,0.497131,0.719708,
45000000,40500000,4500000,1,65,6052695,12252407,0.494,0.721537,
45000000,40500000,4500000,1,66,6068931,12363616,0.49087,0.723473,
45000000,40500000,4500000,1,67,6075371,12463972,0.487435,0.724241,
45000000,40500000,4500000,1,68,6078830,12565548,0.48377,0.724653,
45000000,40500000,4500000,1,69,6079633,12663418,0.480094,0.724749,
45000000,40500000,4500000,1,70,6100383,12776845,0.477456,0.727222,
45000000,40500000,4500000,1,71,6143704,12914751,0.475712,0.732387,
45000000,40500000,4500000,1,72,6164043,13027267,0.473165,0.734811,
45000000,40500000,4500000,1,73,6175803,13142447,0.469913,0.736213,
45000000,40500000,4500000,1,74,6160316,13250646,0.464907,0.734367,
45000000,40500000,4500000,1,75,6161693,13355601,0.461356,0.734531,
45000000,40500000,4500000,1,76,6165561,13464400,0.457916,0.734992,
45000000,40500000,4500000,1,77,6178706,13575824,0.455126,0.736559,
45000000,40500000,4500000,1,78,6185404,13678566,0.452197,0.737358,
