initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
40000000,900000,100000,20,257.577,87.0603,288.32,199.358,
40000000,1800000,200000,20,254.977,86.5856,283.339,189.509,
40000000,2700000,300000,20,256.937,89.5059,287.948,210.404,
40000000,3600000,400000,20,256.718,90.2657,287.177,208.559,
40000000,4500000,500000,20,256.836,89.2454,287.224,215.06,
40000000,5400000,600000,20,257.787,89.8741,288.539,214.337,
40000000,6300000,700000,20,259.277,90.4121,287.737,215.772,
40000000,7200000,800000,20,260.004,90.7025,288.127,215.109,
40000000,8100000,900000,20,255.968,90.0122,284.244,211.104,
40000000,9000000,1000000,20,255.556,91.4693,288.121,213.429,
40000000,9900000,1100000,20,256.717,91.4217,289.788,217.728,
40000000,10800000,1200000,20,257.493,90.0848,287.18,218.675,
40000000,11700000,1300000,20,258.504,91.8064,284.343,216.533,
40000000,12600000,1400000,20,257.269,92.1604,287.527,220.048,
40000000,13500000,1500000,20,258.303,91.6897,288.083,221.219,
40000000,14400000,1600000,20,259.382,92.3534,286.304,211.21,
40000000,15300000,1700000,20,257.937,92.6327,287.349,219.003,
40000000,16200000,1800000,20,258.983,91.8713,287.178,222.384,
40000000,17100000,1900000,20,257.982,92.8834,289.061,221.725,
40000000,18000000,2000000,20,256.67,92.9751,287.351,219.577,
40000000,18900000,2100000,20,258.115,92.7322,287.268,222.093,
40000000,19800000,2200000,20,259.104,93.0122,288.485,222.313,
40000000,20700000,2300000,20,256.099,92.9167,286.85,222.949,
40000000,21600000,2400000,20,257.821,93.186,287.998,224.121,
40000000,22500000,2500000,20,258.33,93.2067,287.859,224.805,
40000000,23400000,2600000,20,257.589,93.1768,287.921,223.563,
40000000,24300000,2700000,20,254.496,93.1127,285.622,225.165,
40000000,25200000,2800000,20,257.534,93.249,289.731,224.714,
40000000,26100000,2900000,20,257.429,93.2709,288.381,226.969,
40000000,27000000,3000000,20,257.159,93.3993,289.257,224.946,
40000000,27900000,3100000,20,258.234,93.3974,285.83,225.411,
40000000,28800000,3200000,20,258.131,93.5205,289.515,225.844,
40000000,29700000,3300000,20,255.343,93.3397,287.078,226.579,
40000000,30600000,3400000,20,257.186,93.3928,286.641,226.197,
40000000,31500000,3500000,20,257.717,93.4773,286.341,226.896,
40000000,32400000,3600000,20,256.152,93.3659,288.605,226.724,
40000000,33300000,3700000,20,258.541,93.4872,288.791,227.749,
40000000,34200000,3800000,20,257.152,93.462,287.862,226.746,
40000000,35100000,3900000,20,258.643,93.5722,287.443,226.818,
40000000,36000000,4000000,20,259.03,93.6253,289.128,228.304,
40000000,36900000,4100000,20,256.652,93.4709,285.462,226.406,
40000000,37800000,4200000,20,257.492,93.5301,287.981,227.948,
40000000,38700000,4300000,20,257.051,93.5866,287.28,227.659,
40000000,39600000,4400000,20,256.447,93.4032,288.214,228.29,
40000000,40500000,4500000,20,257.046,93.5356,287.988,228.709,
