initial_tree_size,num_insertions,num_range_query,num_experiments,epoch_number,pointers_count,pointers_allocated_total,ratio,tree_gibs,
45000000,2250000,42750000,1,0,5190054,5190054,1,0.618703,
45000000,2250000,42750000,1,1,5195229,5195229,1,0.61932,
45000000,2250000,42750000,1,2,5200880,5200880,1,0.619993,
45000000,2250000,42750000,1,3,5201449,5205515,0.999219,0.620061,
45000000,2250000,42750000,1,4,5203115,5211667,0.998359,0.62026,
45000000,2250000,42750000,1,5,5203716,5216388,0.997571,0.620331,
45000000,2250000,42750000,1,6,5206149,5223101,0.996754,0.620621,
45000000,2250000,42750000,1,7,5207730,5228906,0.99595,0.62081,
45000000,2250000,42750000,1,8,5207913,5233065,0.995194,0.620832,
45000000,2250000,42750000,1,9,5206876,5237726,0.99411,0.620708,
45000000,2250000,42750000,1,10,5206630,5242208,0.993213,0.620679,
45000000,2250000,42750000,1,11,5206207,5246693,0.992284,0.620628,
45000000,2250000,42750000,1,12,5206914,5251130,0.99158,0.620713,
45000000,2250000,42750000,1,13,5209003,5257653,0.990747,0.620962,
45000000,2250000,42750000,1,14,5209203,5261799,0.990004,0.620985,
45000000,2250000,42750000,1,15,5209839,5266785,0.989188,0.621061,
45000000,2250000,42750000,1,16,5208481,5271551,0.988036,0.620899,
45000000,2250000,42750000,1,17,5208339,5275861,0.987202,0.620882,
45000000,2250000,42750000,1,18,5208509,5280559,0.986356,0.620903,
45000000,2250000,42750000,1,19,5209455,5285761,0.985564,0.621015,
45000000,2250000,42750000,1,20,5209671,5290527,0.984717,0.621041,
45000000,2250000,42750000,1,21,5210740,5295696,0.983958,0.621169,
45000000,2250000,42750000,1,22,5210945,5299613,0.983269,0.621193,
45000000,2250000,42750000,1,23,5211925,5305139,0.982429,0.62131,
45000000,2250000,42750000,1,24,5212874,5310472,0.981622,0.621423,
45000000,2250000,42750000,1,25,5213402,5315556,0.980782,0.621486,
45000000,2250000,42750000,1,26,5212885,5319957,0.979874,0.621424,
45000000,2250000,42750000,1,27,5213089,5324949,0.978993,0.621449,
45000000,2250000,42750000,1,28,5215605,5331689,0.978228,0.621749,
45000000,2250000,42750000,1,29,5216167,5336689,0.977416,0.621816,
45000000,2250000,42750000,1,30,5216797,5341819,0.976596,0.621891,
45000000,2250000,42750000,1,31,5215341,5346193,0.975524,0.621717,
45000000,2250000,42750000,1,32,5216266,5351544,0.974722,0.621827,
45000000,2250000,42750000,1,33,5216061,5355907,0.973889,0.621803,
45000000,2250000,42750000,1,34,5216537,5360301,0.97318,0.62186,
45000000,2250000,42750000,1,35,5216187,5364101,0.972425,0.621818,
45000000,2250000,42750000,1,36,5216453,5368473,0.971683,0.62185,
45000000,2250000,42750000,1,37,5216916,5372576,0.971027,0.621905,
45000000,2250000,42750000,1,38,5217149,5376775,0.970312,0.621933,
45000000,2250000,42750000,1,39,5218112,5381748,0.969594,0.622047,
45000000,2250000,42750000,1,40,5218409,5385721,0.968934,0.622083,
45000000,2250000,42750000,1,41,5219278,5390002,0.968326,0.622186,
45000000,2250000,42750000,1,42,5219188,5394328,0.967533,0.622176,
45000000,2250000,42750000,1,43,5219966,5398698,0.966893,0.622268,
45000000,2250000,42750000,1,44,5222084,5405540,0.966061,0.622521,
45000000,2250000,42750000,1,45,5222118,5409846,0.965299,0.622525,
45000000,2250000,42750000,1,46,5224807,5417337,0.96446,0.622846,
45000000,2250000,42750000,1,47,5223907,5422311,0.96341,0.622738,
45000000,2250000,42750000,1,48,5224057,5426923,0.962619,0.622756,
45000000,2250000,42750000,1,49,5222119,5431511,0.961449,0.622525,
45000000,2250000,42750000,1,50,5223556,5437296,0.96069,0.622696,
45000000,2250000,42750000,1,51,5223534,5441392,0.959963,0.622694,
45000000,2250000,42750000,1,52,5224128,5445766,0.959301,0.622765,
45000000,2250000,42750000,1,53,5225166,5451642,0.958457,0.622888,
45000000,2250000,42750000,1,54,5224871,5455749,0.957682,0.622853,
45000000,2250000,42750000,1,55,5224650,5459772,0.956936,0.622827,
45000000,2250000,42750000,1,56,5227620,5467370,0.956149,0.623181,
45000000,2250000,42750000,1,57,5227695,5471849,0.95538,0.62319,
45000000,2250000,42750000,1,58,5228533,5476873,0.954657,0.62329,
45000000,2250000,42750000,1,59,5228359,5483608,0.953452,0.623269,
45000000,2250000,42750000,1,60,5228833,5488775,0.952641,0.623325,
45000000,2250000,42750000,1,61,5228801,5493259,0.951858,0.623322,
45000000,2250000,42750000,1,62,5228580,5497696,0.951049,0.623295,
45000000,2250000,42750000,1,63,5228423,5503041,0.950097,0.623277,
45000000,2250000,42750000,1,64,5229115,5508337,0.949309,0.623359,
45000000,2250000,42750000,1,65,5230875,5514347,0.948594,0.623569,
45000000,2250000,42750000,1,66,5230371,5517921,0.947888,0.623509,
45000000,2250000,42750000,1,67,5229498,5522164,0.947002,0.623405,
45000000,2250000,42750000,1,68,5229854,5526348,0.946349,0.623447,
45000000,2250000,42750000,1,69,5230033,5531241,0.945544,0.623469,
45000000,2250000,42750000,1,70,5230276,5535724,0.944822,0.623497,
45000000,2250000,42750000,1,71,5230849,5540695,0.944078,0.623566,
45000000,2250000,42750000,1,72,5232333,5545957,0.94345,0.623743,
45000000,2250000,42750000,1,73,5235473,5553667,0.942706,0.624117,
45000000,2250000,42750000,1,74,5235606,5557866,0.942017,0.624133,
45000000,2250000,42750000,1,75,5236014,5562846,0.941247,0.624182,
45000000,2250000,42750000,1,76,5236734,5570316,0.940114,0.624267,
45000000,2250000,42750000,1,77,5236998,5574994,0.939373,0.624299,
45000000,2250000,42750000,1,78,5237259,5579847,0.938603,0.62433,
45000000,2250000,42750000,1,79,5234992,5583912,0.937513,0.62406,
45000000,2250000,42750000,1,80,5235489,5588987,0.936751,0.624119,
45000000,2250000,42750000,1,81,5237676,5595422,0.936065,0.62438,
45000000,2250000,42750000,1,82,5238172,5600288,0.93534,0.624439,
45000000,2250000,42750000,1,83,5238381,5604735,0.934635,0.624464,
45000000,2250000,42750000,1,84,5236768,5608942,0.933646,0.624271,
45000000,2250000,42750000,1,85,5237137,5613563,0.932943,0.624315,
45000000,2250000,42750000,1,86,5239570,5620182,0.932278,0.624605,
45000000,2250000,42750000,1,87,5240319,5625188,0.931581,0.624695,
45000000,2250000,42750000,1,88,5240435,5629707,0.930854,0.624709,
45000000,2250000,42750000,1,89,5240188,5633888,0.930119,0.624679,
