initial_tree_size,num_insertions,num_range_query,num_experiments,epoch_number,pointers_count,pointers_allocated_total,ratio,tree_gibs,
45000000,10000000,10000000,1,0,5189582,5189582,1,0.618646,
45000000,10000000,10000000,1,1,5305802,5305811,0.999998,0.632501,
45000000,10000000,10000000,1,2,5393353,5393354,1,0.642938,
45000000,10000000,10000000,1,3,5440596,5483002,0.992266,0.64857,
45000000,10000000,10000000,1,4,5458829,5580306,0.978231,0.650743,
45000000,10000000,10000000,1,5,5450333,5650153,0.964635,0.64973,
45000000,10000000,10000000,1,6,5454522,5737474,0.950684,0.65023,
45000000,10000000,10000000,1,7,5458496,5831940,0.935966,0.650703,
45000000,10000000,10000000,1,8,5490931,5930683,0.925851,0.65457,
45000000,10000000,10000000,1,9,5516454,6038058,0.913614,0.657613,
45000000,10000000,10000000,1,10,5508364,6113732,0.900982,0.656648,
45000000,10000000,10000000,1,11,5519069,6215789,0.887911,0.657924,
45000000,10000000,10000000,1,12,5530395,6324414,0.874452,0.659274,
45000000,10000000,10000000,1,13,5554501,6419129,0.865304,0.662148,
45000000,10000000,10000000,1,14,5551791,6509447,0.852882,0.661825,
45000000,10000000,10000000,1,15,5542365,6597271,0.8401,0.660701,
45000000,10000000,10000000,1,16,5547776,6688764,0.829417,0.661346,
45000000,10000000,10000000,1,17,5545303,6769953,0.819105,0.661052,
45000000,10000000,10000000,1,18,5557899,6863269,0.809803,0.662553,
45000000,10000000,10000000,1,19,5564735,6954511,0.800162,0.663368,
45000000,10000000,10000000,1,20,5593436,7058000,0.792496,0.66679,
45000000,10000000,10000000,1,21,5603940,7152434,0.783501,0.668042,
45000000,10000000,10000000,1,22,5606248,7239996,0.774344,0.668317,
45000000,10000000,10000000,1,23,5607962,7336810,0.76436,0.668521,
45000000,10000000,10000000,1,24,5606547,7419095,0.755691,0.668352,
45000000,10000000,10000000,1,25,5619378,7512118,0.748042,0.669882,
45000000,10000000,10000000,1,26,5611567,7593171,0.739028,0.668951,
45000000,10000000,10000000,1,27,5642327,7699086,0.732857,0.672618,
45000000,10000000,10000000,1,28,5649246,7789376,0.72525,0.673443,
45000000,10000000,10000000,1,29,5654199,7869875,0.718461,0.674033,
