initial_tree_size,num_insertions,num_range_query,num_experiments,epoch_number,pointers_count,pointers_allocated_total,ratio,tree_gibs,
45000000,1000000,19000000,1,0,5190152,5190152,1,0.618714,
45000000,1000000,19000000,1,1,5195582,5195582,1,0.619362,
45000000,1000000,19000000,1,2,5200453,5200453,1,0.619942,
45000000,1000000,19000000,1,3,5201713,5205647,0.999244,0.620093,
45000000,1000000,19000000,1,4,5203242,5211158,0.998481,0.620275,
45000000,1000000,19000000,1,5,5203332,5215368,0.997692,0.620286,
45000000,1000000,19000000,1,6,5204999,5221293,0.996879,0.620484,
45000000,1000000,19000000,1,7,5206461,5227355,0.996003,0.620659,
45000000,1000000,19000000,1,8,5207061,5232407,0.995156,0.62073,
45000000,1000000,19000000,1,9,5207034,5237406,0.994201,0.620727,
45000000,1000000,19000000,1,10,5205998,5242074,0.993118,0.620603,
45000000,1000000,19000000,1,11,5206349,5246469,0.992353,0.620645,
45000000,1000000,19000000,1,12,5208984,5253466,0.991533,0.620959,
45000000,1000000,19000000,1,13,5210458,5259322,0.990709,0.621135,
45000000,1000000,19000000,1,14,5211011,5263943,0.989944,0.621201,
45000000,1000000,19000000,1,15,5210032,5269576,0.9887,0.621084,
45000000,1000000,19000000,1,16,5209213,5273787,0.987756,0.620987,
45000000,1000000,19000000,1,17,5209387,5278035,0.986994,0.621007,
45000000,1000000,19000000,1,18,5209213,5282759,0.986078,0.620987,
45000000,1000000,19000000,1,19,5209509,5287557,0.985239,0.621022,
45000000,1000000,19000000,1,20,5210240,5292694,0.984421,0.621109,
45000000,1000000,19000000,1,21,5210618,5297002,0.983692,0.621154,
45000000,1000000,19000000,1,22,5210545,5301047,0.982928,0.621145,
45000000,1000000,19000000,1,23,5211607,5305747,0.982257,0.621272,
45000000,1000000,19000000,1,24,5212033,5309795,0.981588,0.621323,
45000000,1000000,19000000,1,25,5211750,5313538,0.980844,0.621289,
45000000,1000000,19000000,1,26,5211926,5317834,0.980084,0.62131,
45000000,1000000,19000000,1,27,5212041,5322249,0.979293,0.621324,
45000000,1000000,19000000,1,28,5212644,5326638,0.978599,0.621396,
45000000,1000000,19000000,1,29,5215416,5333834,0.977799,0.621726,
45000000,1000000,19000000,1,30,5215730,5338234,0.977052,0.621763,
45000000,1000000,19000000,1,31,5215744,5342298,0.976311,0.621765,
45000000,1000000,19000000,1,32,5215015,5346819,0.975349,0.621678,
45000000,1000000,19000000,1,33,5215834,5352018,0.974555,0.621776,
45000000,1000000,19000000,1,34,5216850,5357402,0.973765,0.621897,
45000000,1000000,19000000,1,35,5217166,5361578,0.973065,0.621935,
45000000,1000000,19000000,1,36,5217159,5365687,0.972319,0.621934,
45000000,1000000,19000000,1,37,5216746,5369766,0.971503,0.621885,
45000000,1000000,19000000,1,38,5218472,5376032,0.970692,0.62209,
45000000,1000000,19000000,1,39,5218267,5380107,0.969919,0.622066,
45000000,1000000,19000000,1,40,5218294,5384086,0.969207,0.622069,
45000000,1000000,19000000,1,41,5218495,5388831,0.968391,0.622093,
45000000,1000000,19000000,1,42,5218348,5393112,0.967595,0.622076,
45000000,1000000,19000000,1,43,5219375,5398097,0.966892,0.622198,
45000000,1000000,19000000,1,44,5220202,5403024,0.966163,0.622297,
45000000,1000000,19000000,1,45,5220698,5407112,0.965524,0.622356,
45000000,1000000,19000000,1,46,5220755,5411139,0.964816,0.622362,
45000000,1000000,19000000,1,47,5221141,5415969,0.964027,0.622409,
45000000,1000000,19000000,1,48,5221893,5420319,0.963392,0.622498,
45000000,1000000,19000000,1,49,5224725,5427707,0.962603,0.622836,
45000000,1000000,19000000,1,50,5224675,5431747,0.961877,0.62283,
45000000,1000000,19000000,1,51,5227011,5438883,0.961045,0.623108,
45000000,1000000,19000000,1,52,5225044,5443070,0.959944,0.622874,
45000000,1000000,19000000,1,53,5225375,5447243,0.95927,0.622913,
45000000,1000000,19000000,1,54,5225168,5452806,0.958253,0.622889,
45000000,1000000,19000000,1,55,5225166,5457062,0.957505,0.622888,
45000000,1000000,19000000,1,56,5225446,5461246,0.956823,0.622922,
45000000,1000000,19000000,1,57,5225298,5465448,0.95606,0.622904,
45000000,1000000,19000000,1,58,5227433,5472357,0.955243,0.623159,
45000000,1000000,19000000,1,59,5227022,5475740,0.954578,0.62311,
45000000,1000000,19000000,1,60,5227579,5480395,0.953869,0.623176,
45000000,1000000,19000000,1,61,5228265,5487003,0.952845,0.623258,
45000000,1000000,19000000,1,62,5229421,5492873,0.952037,0.623396,
45000000,1000000,19000000,1,63,5229512,5497836,0.951195,0.623406,
45000000,1000000,19000000,1,64,5229164,5502344,0.950352,0.623365,
45000000,1000000,19000000,1,65,5229460,5507358,0.949541,0.6234,
45000000,1000000,19000000,1,66,5231292,5514236,0.948688,0.623619,
45000000,1000000,19000000,1,67,5232089,5519429,0.94794,0.623714,
45000000,1000000,19000000,1,68,5231694,5523956,0.947092,0.623667,
45000000,1000000,19000000,1,69,5230536,5528114,0.94617,0.623528,
45000000,1000000,19000000,1,70,5232330,5534156,0.945461,0.623742,
45000000,1000000,19000000,1,71,5232723,5538815,0.944737,0.623789,
45000000,1000000,19000000,1,72,5232407,5542691,0.944019,0.623752,
45000000,1000000,19000000,1,73,5232869,5548611,0.943095,0.623807,
45000000,1000000,19000000,1,74,5233245,5552961,0.942424,0.623851,
45000000,1000000,19000000,1,75,5233601,5557743,0.941677,0.623894,
45000000,1000000,19000000,1,76,5233400,5562488,0.940838,0.62387,
45000000,1000000,19000000,1,77,5233442,5567013,0.940081,0.623875,
45000000,1000000,19000000,1,78,5234552,5572384,0.939374,0.624007,
45000000,1000000,19000000,1,79,5234518,5576462,0.938681,0.624003,
45000000,1000000,19000000,1,80,5234646,5580810,0.937972,0.624018,
45000000,1000000,19000000,1,81,5235322,5585400,0.937323,0.624099,
45000000,1000000,19000000,1,82,5236844,5591312,0.936604,0.62428,
45000000,1000000,19000000,1,83,5236992,5595414,0.935944,0.624298,
45000000,1000000,19000000,1,84,5237142,5599684,0.935257,0.624316,
45000000,1000000,19000000,1,85,5237118,5604218,0.934496,0.624313,
45000000,1000000,19000000,1,86,5237089,5608797,0.933728,0.62431,
45000000,1000000,19000000,1,87,5237459,5613111,0.933076,0.624354,
45000000,1000000,19000000,1,88,5238146,5617874,0.932407,0.624436,
45000000,1000000,19000000,1,89,5239354,5623672,0.931661,0.62458,
45000000,1000000,19000000,1,90,5240023,5628589,0.930966,0.624659,
45000000,1000000,19000000,1,91,5240305,5632687,0.930338,0.624693,
45000000,1000000,19000000,1,92,5239901,5637165,0.929528,0.624645,
45000000,1000000,19000000,1,93,5239928,5641502,0.928818,0.624648,
45000000,1000000,19000000,1,94,5240293,5645933,0.928154,0.624692,
45000000,1000000,19000000,1,95,5242430,5652478,0.927457,0.624946,
45000000,1000000,19000000,1,96,5242497,5656609,0.926791,0.624954,
45000000,1000000,19000000,1,97,5242679,5660533,0.926181,0.624976,
45000000,1000000,19000000,1,98,5243094,5664842,0.92555,0.625026,
45000000,1000000,19000000,1,99,5242659,5668957,0.924801,0.624974,
45000000,1000000,19000000,1,100,5243414,5672830,0.924303,0.625064,
45000000,1000000,19000000,1,101,5244649,5678377,0.923618,0.625211,
45000000,1000000,19000000,1,102,5245782,5683764,0.922942,0.625346,
45000000,1000000,19000000,1,103,5245905,5687963,0.922282,0.625361,
45000000,1000000,19000000,1,104,5244680,5692934,0.921261,0.625215,
45000000,1000000,19000000,1,105,5244706,5697352,0.920552,0.625218,
45000000,1000000,19000000,1,106,5244872,5701436,0.919921,0.625237,
45000000,1000000,19000000,1,107,5245103,5706145,0.919203,0.625265,
45000000,1000000,19000000,1,108,5247733,5713163,0.918534,0.625579,
45000000,1000000,19000000,1,109,5247482,5717142,0.917851,0.625549,
45000000,1000000,19000000,1,110,5251680,5725570,0.917233,0.626049,
45000000,1000000,19000000,1,111,5250726,5729912,0.916371,0.625935,
45000000,1000000,19000000,1,112,5251544,5735180,0.915672,0.626033,
45000000,1000000,19000000,1,113,5248772,5739980,0.914423,0.625702,
45000000,1000000,19000000,1,114,5250131,5745909,0.913716,0.625864,
45000000,1000000,19000000,1,115,5250081,5750419,0.912991,0.625858,
45000000,1000000,19000000,1,116,5250737,5755599,0.912283,0.625937,
45000000,1000000,19000000,1,117,5250958,5760490,0.911547,0.625963,
45000000,1000000,19000000,1,118,5250948,5764916,0.910846,0.625962,
45000000,1000000,19000000,1,119,5251097,5768787,0.91026,0.62598,
45000000,1000000,19000000,1,120,5251180,5773168,0.909584,0.625989,
45000000,1000000,19000000,1,121,5252809,5779055,0.908939,0.626184,
