initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
40000000,50000,950000,20,246.538,193.943,270.109,259.962,
40000000,100000,1900000,20,247.42,203.095,272.756,246.294,
40000000,150000,2850000,20,247.2,205.808,272.528,243.08,
40000000,200000,3800000,20,249.367,206.943,273.336,246.253,
40000000,250000,4750000,20,247.623,208.636,271.457,234.54,
40000000,300000,5700000,20,245.731,208.244,267.707,243.768,
40000000,350000,6650000,20,246.662,209.752,271.525,247.406,
40000000,400000,7600000,20,248.906,210.339,274.054,238.412,
40000000,450000,8550000,20,248.546,210.519,272.095,225.531,
40000000,500000,9500000,20,246.443,209.865,272.999,242.702,
40000000,550000,10450000,20,245.796,208.222,271.851,230.957,
40000000,600000,11400000,20,247.473,210.195,271.722,229.66,
40000000,650000,12350000,20,245.773,210.986,268.82,218.574,
40000000,700000,13300000,20,246.748,211.741,273.449,230.526,
40000000,750000,14250000,20,245.78,210.637,273.637,222.804,
40000000,800000,15200000,20,247.549,212.044,273.296,230.708,
40000000,850000,16150000,20,245.273,211.646,272.629,231.867,
40000000,900000,17100000,20,246.379,211.964,274.218,228.761,
40000000,950000,18050000,20,248.231,212.33,274.839,228.153,
40000000,1000000,19000000,20,248.879,213.605,275.035,228.036,
40000000,1050000,19950000,20,247.943,213.422,273.907,231.765,
40000000,1100000,20900000,20,249.101,214.226,273.055,230.73,
40000000,1150000,21850000,20,248.828,213.999,273.982,232.268,
40000000,1200000,22800000,20,247.011,215.316,272.729,227.687,
40000000,1250000,23750000,20,245.548,214.643,275.034,231.844,
40000000,1300000,24700000,20,247.553,215.542,273.517,229.915,
40000000,1350000,25650000,20,247.983,215.025,274.192,231.065,
40000000,1400000,26600000,20,247.337,215.267,272.474,226.512,
40000000,1450000,27550000,20,245.659,214.427,272.784,228.322,
40000000,1500000,28500000,20,245.536,214.628,272.572,229.498,
40000000,1550000,29450000,20,245.892,214.892,273.283,230.395,
40000000,1600000,30400000,20,247.004,214.925,271.69,232.08,
40000000,1650000,31350000,20,246.886,215.484,274.851,231.734,
40000000,1700000,32300000,20,254.694,215.782,281.381,228.298,
40000000,1750000,33250000,20,255.353,215.553,281.038,223.006,
40000000,1800000,34200000,20,246.568,214.121,273.471,222.245,
40000000,1850000,35150000,20,245.739,214.361,272.706,226.393,
40000000,1900000,36100000,20,246.103,215.406,272.972,228.7,
40000000,1950000,37050000,20,247.131,214.737,273.023,226.835,
40000000,2000000,38000000,20,246.392,214.958,270.553,230.495,
40000000,2050000,38950000,20,246.599,215.545,272.552,227.3,
40000000,2100000,39900000,20,248.528,215.862,274.245,228.897,
40000000,2150000,40850000,20,244.286,214.833,271.782,226.585,
40000000,2200000,41800000,20,246.212,215.386,272.622,222.745,
40000000,2250000,42750000,20,247.792,215.238,269.623,222.184,
