initial_tree_size,num_insertions,num_range_query,average_range_length,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
100000,2500000,2500000,364,20,12.9172,72.8128,12.9368,105.709,
100000,2500000,2500000,368,20,12.5098,70.1862,12.8523,112.46,
100000,2500000,2500000,372,20,11.8998,66.7643,13.6817,109.529,
100000,2500000,2500000,376,20,13.3968,67.179,13.8568,116.791,
100000,2500000,2500000,380,20,12.0698,69.4123,13.5097,109.921,
100000,2500000,2500000,384,20,13.9057,69.1517,12.4527,108.337,
100000,2500000,2500000,388,20,12.0437,68.7955,15.4911,110.568,
100000,2500000,2500000,392,20,12.7901,67.3546,13.5373,105.276,
100000,2500000,2500000,396,20,13.1096,66.0221,13.4137,103.866,
100000,2500000,2500000,400,20,12.9718,68.3571,13.4712,107.336,
100000,2500000,2500000,404,20,13.0831,66.9347,14.076,101.984,
100000,2500000,2500000,408,20,14.512,67.1196,13.6893,107.688,
100000,2500000,2500000,412,20,11.824,64.7543,13.8004,100.956,
100000,2500000,2500000,416,20,11.8243,66.8443,13.5002,98.3229,
100000,2500000,2500000,420,20,12.5502,64.2333,12.9331,103.442,
100000,2500000,2500000,424,20,11.9925,62.7144,14.5464,106.526,
100000,2500000,2500000,428,20,12.2939,63.2192,14.3548,96.883,
100000,2500000,2500000,432,20,12.3899,60.0882,14.8279,104.506,
100000,2500000,2500000,436,20,13.0503,62.1125,12.8438,98.9216,
100000,2500000,2500000,440,20,12.3172,61.107,15.1144,100.527,
100000,2500000,2500000,444,20,11.7673,62.3605,13.3855,99.7121,
100000,2500000,2500000,448,20,13.0107,61.8759,12.5831,98.4053,
100000,2500000,2500000,452,20,12.474,58.3479,13.8372,100.145,
100000,2500000,2500000,456,20,12.6288,57.9852,14.8667,97.07,
100000,2500000,2500000,460,20,13.1186,59.623,13.3272,99.305,
100000,2500000,2500000,464,20,11.9073,58.3991,15.2635,102.978,
100000,2500000,2500000,468,20,12.8069,59.1293,13.576,95.6494,
100000,2500000,2500000,472,20,12.9934,58.6319,13.8444,93.2085,
100000,2500000,2500000,476,20,13.267,57.3246,14.7136,92.5669,
100000,2500000,2500000,480,20,12.9622,58.1783,15.0825,90.9935,
100000,2500000,2500000,484,20,11.8671,57.3768,13.9385,96.3748,
100000,2500000,2500000,488,20,12.372,56.9484,12.9896,96.5482,
100000,2500000,2500000,492,20,13.1447,56.9351,14.6925,89.596,
100000,2500000,2500000,496,20,12.4468,54.5566,12.754,91.3988,
100000,2500000,2500000,500,20,11.9804,55.5112,13.6588,90.8528,
100000,2500000,2500000,504,20,12.8462,55.1012,14.5201,86.8006,
100000,2500000,2500000,508,20,13.3266,52.8675,13.9587,89.774,
100000,2500000,2500000,512,20,12.8907,53.4825,14.1321,85.3931,
100000,2500000,2500000,516,20,11.526,53.9812,14.2111,86.7418,
100000,2500000,2500000,520,20,11.9029,53.3321,15.0535,86.1406,
100000,2500000,2500000,524,20,12.4488,53.0386,15.5101,87.4567,
100000,2500000,2500000,528,20,12.2616,53.5012,14.0455,89.2134,
100000,2500000,2500000,532,20,13.0826,51.6286,13.7703,86.9994,
100000,2500000,2500000,536,20,12.9056,52.3309,14.7557,86.4511,
100000,2500000,2500000,540,20,12.3677,51.3948,14.8177,82.5892,
100000,2500000,2500000,544,20,11.6948,51.7761,13.4795,85.5889,
100000,2500000,2500000,548,20,12.4694,51.1614,14.0512,81.5978,
100000,2500000,2500000,552,20,12.3762,50.6347,15.2472,80.7758,
100000,2500000,2500000,556,20,13.0038,50.7131,13.3179,87.2572,
100000,2500000,2500000,560,20,12.4784,49.0616,13.6682,84.0179,
100000,2500000,2500000,564,20,13.3496,49.5671,13.4119,79.6313,
100000,2500000,2500000,568,20,12.5821,48.6891,14.2547,82.6438,
100000,2500000,2500000,572,20,11.0635,49.6825,12.5663,81.0308,
100000,2500000,2500000,576,20,11.2912,49.0495,15.218,78.6916,
100000,2500000,2500000,580,20,13.0738,48.9076,13.1907,78.9817,
100000,2500000,2500000,584,20,13.1973,47.7618,14.0231,83.4825,
100000,2500000,2500000,588,20,13.195,47.8757,13.1951,76.6843,
100000,2500000,2500000,592,20,12.0958,47.7416,12.7695,81.0996,
100000,2500000,2500000,596,20,12.8333,47.5373,14.4069,76.0575,
100000,2500000,2500000,600,20,12.545,47.3144,13.3702,77.2576,
100000,2500000,2500000,604,20,12.6355,46.9912,13.9459,75.3256,
100000,2500000,2500000,608,20,12.6062,46.3521,13.9125,75.4576,
100000,2500000,2500000,612,20,12.7542,45.5831,13.082,78.2774,
100000,2500000,2500000,616,20,11.4414,45.2753,13.2435,76.0517,
100000,2500000,2500000,620,20,13.4578,45.2251,12.9576,74.9851,
100000,2500000,2500000,624,20,13.164,44.8085,13.0305,75.2179,
100000,2500000,2500000,628,20,12.1485,45.5824,13.738,75.724,
100000,2500000,2500000,632,20,12.7571,44.8685,13.8856,76.9626,
100000,2500000,2500000,636,20,12.846,44.1926,13.5719,75.6373,
100000,2500000,2500000,640,20,12.8369,44.4078,14.4245,72.9902,
100000,2500000,2500000,644,20,13.9582,44.2087,13.9335,71.3366,
100000,2500000,2500000,648,20,12.6779,44.1704,13.3803,72.4455,
100000,2500000,2500000,652,20,11.4414,43.819,13.6383,71.6684,
