initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
1000000,900000,100000,20,78.9074,188.277,80.1262,225.899,
1000000,1800000,200000,20,78.9393,218.134,81.5835,266.28,
1000000,2700000,300000,20,80.8078,225.772,87.588,284.241,
1000000,3600000,400000,20,81.4909,233.29,79.3547,294.182,
1000000,4500000,500000,20,76.6773,236.327,86.0002,297.989,
1000000,5400000,600000,20,74.3441,237.077,84.0455,309.753,
1000000,6300000,700000,20,70.527,239.464,85.4804,312.646,
1000000,7200000,800000,20,78.7461,240.691,80.8055,314.329,
1000000,8100000,900000,20,78.1653,238.184,86.4697,321.065,
1000000,9000000,1000000,20,81.0597,238.772,80.1456,325.785,
1000000,9900000,1100000,20,78.4923,238.195,80.6413,329.948,
1000000,10800000,1200000,20,81.6681,237.236,84.9942,323.759,
1000000,11700000,1300000,20,71.5522,237.249,83.8114,320.519,
1000000,12600000,1400000,20,74.1286,237.778,82.3961,316.061,
1000000,13500000,1500000,20,78.7341,236.61,84.4259,318.743,
1000000,14400000,1600000,20,74.364,226.531,89.4493,338.162,
1000000,15300000,1700000,20,72.7738,223.687,85.8762,334.179,
1000000,16200000,1800000,20,75.4627,228.158,76.9265,314.654,
1000000,17100000,1900000,20,73.6681,227.429,82.7035,348.889,
1000000,18000000,2000000,20,67.8989,226.002,85.1599,339.68,
1000000,18900000,2100000,20,67.8225,226.152,93.056,316.864,
1000000,19800000,2200000,20,70.6316,226.313,87.7265,348.454,
1000000,20700000,2300000,20,70.7962,229.238,84.1766,326.581,
1000000,21600000,2400000,20,76.9204,226.071,90.0551,324.085,
1000000,22500000,2500000,20,80.4271,225.956,77.7868,330.818,
1000000,23400000,2600000,20,73.8924,226.264,82.3224,337.03,
1000000,24300000,2700000,20,68.4406,228.7,80.353,352.74,
1000000,25200000,2800000,20,67.542,227.902,89.1162,321.38,
1000000,26100000,2900000,20,68.2424,227.582,82.2646,320.233,
1000000,27000000,3000000,20,69.1173,225.935,80.1562,336.681,
1000000,27900000,3100000,20,73.3813,227.346,86.2311,343.421,
1000000,28800000,3200000,20,69.2462,229.337,83.6592,342.719,
1000000,29700000,3300000,20,68.3927,229.904,89.7877,337.952,
1000000,30600000,3400000,20,73.8927,226.519,82.7886,321.652,
1000000,31500000,3500000,20,76.4828,229.404,81.2607,334.73,
1000000,32400000,3600000,20,74.5371,227.086,87.1818,339.037,
1000000,33300000,3700000,20,84.8145,226.294,87.6993,327.821,
1000000,34200000,3800000,20,73.9786,227.188,80.4132,337.155,
1000000,35100000,3900000,20,71.791,226.626,85.2826,340.548,
1000000,36000000,4000000,20,76.0746,226.186,80.525,357.881,
1000000,36900000,4100000,20,67.1981,229.112,80.2612,329.898,
1000000,37800000,4200000,20,78.8743,229.621,90.5486,345.67,
1000000,38700000,4300000,20,74.9939,229.542,80.8185,338.779,
1000000,39600000,4400000,20,74.3725,226.732,85.0772,329.835,
1000000,40500000,4500000,20,69.4141,226.836,87.4425,364.51,
