initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
1000000,50000,950000,20,83.1464,192.58,81.8714,263.352,
1000000,100000,1900000,20,78.5508,231.041,84.1244,320.634,
1000000,150000,2850000,20,85.6949,231.524,84.8598,341.424,
1000000,200000,3800000,20,74.7141,235.147,81.575,348.205,
1000000,250000,4750000,20,76.594,242.19,84.2682,359.587,
1000000,300000,5700000,20,77.8032,251.131,81.8059,369.243,
1000000,350000,6650000,20,74.0488,265.754,83.2758,377.731,
1000000,400000,7600000,20,80.2771,264.505,85.1536,378.108,
1000000,450000,8550000,20,73.0572,253.697,86.9365,371.751,
1000000,500000,9500000,20,75.9527,244.899,87.2153,370.787,
1000000,550000,10450000,20,75.9696,255.411,82.1286,378.238,
1000000,600000,11400000,20,74.7019,266.571,84.5812,377.985,
1000000,650000,12350000,20,79.336,253.957,82.1797,373.947,
1000000,700000,13300000,20,79.5007,256.574,86.6634,370.678,
1000000,750000,14250000,20,68.121,268.791,88.7857,382.141,
1000000,800000,15200000,20,79.0093,265.028,88.4031,378.011,
1000000,850000,16150000,20,78.6137,250.896,84.5662,374.469,
1000000,900000,17100000,20,73.9546,240.528,82.3582,375.501,
1000000,950000,18050000,20,69.9816,230.848,87.1888,371.07,
1000000,1000000,19000000,20,66.4118,232.614,86.8376,373.718,
1000000,1050000,19950000,20,71.5006,238.906,84.4361,375.986,
1000000,1100000,20900000,20,66.5605,235.589,82.4764,373.464,
1000000,1150000,21850000,20,73.0176,238.943,79.6924,381.903,
1000000,1200000,22800000,20,73.3692,248.31,77.2481,376.534,
1000000,1250000,23750000,20,76.8901,232.891,82.8793,371.457,
1000000,1300000,24700000,20,71.039,230.392,84.4178,372.381,
1000000,1350000,25650000,20,66.1756,272.298,83.9595,378.521,
1000000,1400000,26600000,20,76.6015,239.277,88.2521,376.084,
1000000,1450000,27550000,20,73.8282,234.414,81.2668,376.488,
1000000,1500000,28500000,20,69.7218,253.26,81.3626,383.36,
1000000,1550000,29450000,20,69.2556,249.323,89.0236,377.961,
1000000,1600000,30400000,20,71.5732,257.087,81.1918,371.216,
1000000,1650000,31350000,20,80.0904,240.308,83.5722,379.638,
1000000,1700000,32300000,20,76.1351,270.927,80.2701,382.254,
1000000,1750000,33250000,20,76.4328,267.33,91.8249,377.868,
1000000,1800000,34200000,20,67.401,256.491,88.3243,374.11,
1000000,1850000,35150000,20,72.0365,248.894,86.7204,378.837,
1000000,1900000,36100000,20,72.4593,241.654,83.8168,374.916,
1000000,1950000,37050000,20,75.8292,252.284,81.5818,375.762,
1000000,2000000,38000000,20,71.7125,244.757,80.69,378.554,
1000000,2050000,38950000,20,71.212,247.373,85.0046,377.571,
1000000,2100000,39900000,20,77.7738,254.583,86.7346,378.708,
1000000,2150000,40850000,20,71.6273,240.685,88.3263,375.324,
1000000,2200000,41800000,20,71.9672,246.985,89.104,378.1,
1000000,2250000,42750000,20,75.2467,249.218,85.4277,376.508,
