initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
1000000,500000,500000,20,88.0274,87.2234,101.479,162.821,
1000000,1000000,1000000,20,90.7278,108.836,100.433,187.087,
1000000,1500000,1500000,20,85.7329,132.555,98.2497,201.926,
1000000,2000000,2000000,20,92.9949,124.418,96.1605,205.278,
1000000,2500000,2500000,20,85.0479,127.418,99.7398,218.713,
1000000,3000000,3000000,20,91.2645,133.995,96.5455,221.841,
1000000,3500000,3500000,20,91.4586,137.082,96.5231,224.755,
1000000,4000000,4000000,20,91.0051,138.152,96.7977,243.111,
1000000,4500000,4500000,20,93.5311,138.117,96.3897,241.612,
1000000,5000000,5000000,20,96.1335,142.803,101.145,236.217,
1000000,5500000,5500000,20,96.2368,141.454,100.584,227.09,
1000000,6000000,6000000,20,92.8583,144.635,97.8981,245.475,
1000000,6500000,6500000,20,91.1789,144.722,93.2987,241.915,
1000000,7000000,7000000,20,85.4191,145.217,98.6686,247.297,
1000000,7500000,7500000,20,87.1643,143.083,96.3056,230.733,
1000000,8000000,8000000,20,90.2103,143.002,100.875,239.574,
1000000,8500000,8500000,20,93.702,145.944,104.643,246.124,
1000000,9000000,9000000,20,92.9869,142.698,98.1263,243.549,
1000000,9500000,9500000,20,93.7034,145.988,96.5698,253.604,
1000000,10000000,10000000,20,91.9148,145.808,93.0091,251.296,
1000000,10500000,10500000,20,87.4594,144.031,100.102,247.457,
1000000,11000000,11000000,20,89.1061,147.01,98.8069,243.677,
1000000,11500000,11500000,20,87.8697,144.761,103.631,242.786,
1000000,12000000,12000000,20,92.086,143.789,101.141,253.834,
1000000,12500000,12500000,20,86.9501,146.541,103.168,249.783,
1000000,13000000,13000000,20,90.6865,148.026,92.8817,244.259,
1000000,13500000,13500000,20,84.6557,145.446,98.1825,254.237,
1000000,14000000,14000000,20,78.6434,146.376,96.599,251.923,
1000000,14500000,14500000,20,81.4121,146.836,103.852,247.993,
1000000,15000000,15000000,20,92.4478,146.586,96.7406,247.251,
1000000,15500000,15500000,20,85.8724,147.09,96.2225,250.392,
1000000,16000000,16000000,20,92.149,145.842,93.7659,245.769,
1000000,16500000,16500000,20,88.7837,147.923,92.0625,255.47,
1000000,17000000,17000000,20,82.3041,147.022,107.475,251.577,
1000000,17500000,17500000,20,91.9472,148.192,97.2938,249.851,
1000000,18000000,18000000,20,80.1081,146.535,107.157,256.981,
1000000,18500000,18500000,20,87.7064,147.041,98.7464,255.921,
1000000,19000000,19000000,20,89.6645,147.726,99.5482,254.469,
1000000,19500000,19500000,20,88.5301,145.755,97.8485,253.097,
1000000,20000000,20000000,20,83.9274,148.486,101.726,252.302,
1000000,20500000,20500000,20,92.3852,148.161,100.138,254.041,
1000000,21000000,21000000,20,84.9266,147.428,100.652,251.133,
1000000,21500000,21500000,20,87.6045,149.233,91.7938,252.111,
1000000,22000000,22000000,20,91.276,148.127,101.78,248.403,
1000000,22500000,22500000,20,86.342,147.17,102.521,250.943,
