initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
40000000,900000,100000,20,284.376,94.6855,315.629,148.343,
40000000,1800000,200000,20,286.851,96.2545,319.382,226.716,
40000000,2700000,300000,20,287.174,100.487,316.346,239.763,
40000000,3600000,400000,20,283.834,97.462,320.138,222.255,
40000000,4500000,500000,20,288.037,100.338,320.586,224.038,
40000000,5400000,600000,20,280.768,102.351,318.316,248.9,
40000000,6300000,700000,20,285.981,106.543,319.413,246.588,
40000000,7200000,800000,20,289.16,103.888,322.07,252.724,
40000000,8100000,900000,20,283.395,103.694,320.137,241.325,
40000000,9000000,1000000,20,285.288,106.044,319.436,243.456,
40000000,9900000,1100000,20,281.646,103.443,318.518,242.26,
40000000,10800000,1200000,20,285.692,105.003,319.784,246.919,
40000000,11700000,1300000,20,281.781,105.846,320.708,246.972,
40000000,12600000,1400000,20,285.737,105.394,318.498,244.824,
40000000,13500000,1500000,20,283.264,104.831,322.528,256.12,
40000000,14400000,1600000,20,287.495,105.764,319.115,252.294,
40000000,15300000,1700000,20,285.303,106.869,320.651,244.578,
40000000,16200000,1800000,20,288.572,106.449,319.806,252.837,
40000000,17100000,1900000,20,285.144,106.923,322.243,255.686,
40000000,18000000,2000000,20,287.664,106.67,321.936,258.407,
40000000,18900000,2100000,20,282.434,105.586,318.231,254.809,
40000000,19800000,2200000,20,288.413,107.22,320.497,256.86,
40000000,20700000,2300000,20,282.322,106.511,318.315,253.934,
40000000,21600000,2400000,20,285.224,106.7,321.152,257.332,
40000000,22500000,2500000,20,284.379,106.938,319.077,253.562,
40000000,23400000,2600000,20,288.216,106.579,323.043,260.634,
40000000,24300000,2700000,20,283.422,105.832,317.143,251.807,
40000000,25200000,2800000,20,285.325,107.198,318.93,251.071,
40000000,26100000,2900000,20,282.803,105.978,318.988,252.956,
40000000,27000000,3000000,20,288.195,107.004,320.438,256.728,
40000000,27900000,3100000,20,284.071,106.853,315.295,256.17,
40000000,28800000,3200000,20,287.206,107.511,321.738,255.821,
40000000,29700000,3300000,20,285.122,106.969,320.22,246.011,
40000000,30600000,3400000,20,288.022,107.7,319.575,253.512,
40000000,31500000,3500000,20,280.579,106.679,319.168,254.369,
40000000,32400000,3600000,20,286.925,107.694,320.194,261.419,
40000000,33300000,3700000,20,282.84,106.736,320.627,259.693,
40000000,34200000,3800000,20,288.327,107.539,320.636,256.23,
40000000,35100000,3900000,20,284.312,106.736,323.375,260.148,
40000000,36000000,4000000,20,283.764,106.719,318.977,257.923,
40000000,36900000,4100000,20,285.728,107.121,313.941,258.147,
40000000,37800000,4200000,20,281.594,106.901,319.06,257.927,
40000000,38700000,4300000,20,284.799,106.742,320.879,254.63,
40000000,39600000,4400000,20,286.853,107.133,318.909,257.236,
40000000,40500000,4500000,20,282.192,106.728,318.885,259.678,
