initial_tree_size,num_updates,num_queries,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
45000000,500000,500000,20,285.104,180.184,323.82,205.385,
45000000,1000000,1000000,20,287.804,335.332,322.1,454.903,
45000000,1500000,1500000,20,288.129,402.714,322.913,340.838,
45000000,2000000,2000000,20,286.914,401.617,324.927,323.616,
45000000,2500000,2500000,20,290.44,372.606,325.042,434.911,
45000000,3000000,3000000,20,283.521,335.084,321.411,442.894,
45000000,3500000,3500000,20,290.117,371.341,323.43,389.207,
45000000,4000000,4000000,20,289.022,400.656,322.188,478.361,
45000000,4500000,4500000,20,283.411,400.873,324.458,433.058,
45000000,5000000,5000000,20,290.88,387.111,320.766,447.339,
45000000,5500000,5500000,20,284.095,402.631,321.85,476.41,
45000000,6000000,6000000,20,289.798,404.314,322.74,415.153,
45000000,6500000,6500000,20,285.368,373.333,321.631,447.255,
45000000,7000000,7000000,20,290.181,409.605,324.66,463.949,
45000000,7500000,7500000,20,290.554,390.947,322.602,498.583,
45000000,8000000,8000000,20,283.458,404.154,320.695,463.333,
45000000,8500000,8500000,20,290.543,392.442,324.491,475.651,
45000000,9000000,9000000,20,284.129,389.979,324.632,475.752,
45000000,9500000,9500000,20,291.311,412.962,323.062,469.898,
45000000,10000000,10000000,20,283.968,404.676,323.761,494.62,
45000000,10500000,10500000,20,290.898,393.192,322.298,454.651,
45000000,11000000,11000000,20,283.293,396.078,320.601,478.273,
45000000,11500000,11500000,20,291.224,405.709,324.52,486.607,
45000000,12000000,12000000,20,288.446,413.872,321.077,481.676,
45000000,12500000,12500000,20,283.774,403.255,319.587,466.784,
45000000,13000000,13000000,20,289.528,417.674,320.009,467.444,
45000000,13500000,13500000,20,244.825,396.992,323.204,469.091,
45000000,14000000,14000000,20,290.164,406.442,323.803,496.873,
45000000,14500000,14500000,20,286.987,391.794,323.144,454.166,
45000000,15000000,15000000,20,288.561,401.327,324.265,471.086,
45000000,15500000,15500000,20,286.414,412.908,323.586,486.857,
45000000,16000000,16000000,20,290.161,419.879,324.567,460.195,
45000000,16500000,16500000,20,283.6,398.565,317.938,458.045,
45000000,17000000,17000000,20,288.559,407.191,321.449,479.344,
45000000,17500000,17500000,20,285.493,411.58,324.957,464.708,
45000000,18000000,18000000,20,288.722,410.436,320.219,475.31,
45000000,18500000,18500000,20,287.337,416.461,316.015,436.483,
45000000,19000000,19000000,20,291.702,414.582,324.355,485.25,
45000000,19500000,19500000,20,287.715,412.228,322.297,448.37,
45000000,20000000,20000000,20,290.989,412.678,322.976,478.313,
45000000,20500000,20500000,20,285.254,412.671,321.604,464.747,
45000000,21000000,21000000,20,288.873,411.008,323.245,458.817,
45000000,21500000,21500000,20,286.628,415.165,323.987,439.519,
45000000,22000000,22000000,20,289.92,418.393,323.92,472.602,
45000000,22500000,22500000,20,284.364,400.415,322.12,462.711,
