initial_tree_size,num_updates,num_queries,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
45000000,50000,950000,20,289.321,210.081,321.539,290.005,
45000000,100000,1900000,20,282.437,305.651,322.862,326.35,
45000000,150000,2850000,20,287.054,278.115,325.201,494.095,
45000000,200000,3800000,20,286.448,383.101,324.498,456.247,
45000000,250000,4750000,20,288.402,340.17,321.478,455.391,
45000000,300000,5700000,20,289.592,364.73,320.436,471.263,
45000000,350000,6650000,20,284.038,414.489,314.596,440.002,
45000000,400000,7600000,20,291.053,396.139,322.339,480.72,
45000000,450000,8550000,20,283.193,404.245,321.082,482.687,
45000000,500000,9500000,20,290.221,422.858,322.027,452.302,
45000000,550000,10450000,20,287.804,403.816,320.128,443.088,
45000000,600000,11400000,20,286.894,407.001,324.15,488.35,
45000000,650000,12350000,20,290.764,383.471,320.849,492.174,
45000000,700000,13300000,20,284.59,409.534,323.183,501.769,
45000000,750000,14250000,20,290.201,393.878,323.301,449.525,
45000000,800000,15200000,20,283.397,401.205,322.906,506.685,
45000000,850000,16150000,20,286.472,422.503,321.745,480.266,
45000000,900000,17100000,20,288.484,412.419,316.531,460.676,
45000000,950000,18050000,20,285.783,405.485,319.791,491.199,
45000000,1000000,19000000,20,286.619,405.813,316.998,431.804,
45000000,1050000,19950000,20,285.286,401.003,324.082,493.667,
45000000,1100000,20900000,20,289.127,423.261,319.899,484.09,
45000000,1150000,21850000,20,288.281,397.774,322.472,482.976,
45000000,1200000,22800000,20,291.059,410.125,318.879,465.815,
45000000,1250000,23750000,20,283.81,426.267,322.437,478.015,
45000000,1300000,24700000,20,290.672,418.449,324.267,479.511,
45000000,1350000,25650000,20,287.844,407.18,323.399,496.669,
45000000,1400000,26600000,20,284.774,403.01,323.544,489.572,
45000000,1450000,27550000,20,286.707,408.141,323.841,465.206,
45000000,1500000,28500000,20,286.936,421.712,323.414,480.196,
45000000,1550000,29450000,20,288.62,428.548,320.06,483.537,
45000000,1600000,30400000,20,285.317,396.073,321.48,481.358,
45000000,1650000,31350000,20,288.809,419.917,323.239,485.36,
45000000,1700000,32300000,20,282.037,407.217,321.972,477.668,
45000000,1750000,33250000,20,287.206,415.206,319.181,462.286,
45000000,1800000,34200000,20,287.159,427.276,317.595,448.965,
45000000,1850000,35150000,20,289.898,413.97,319.362,469.545,
45000000,1900000,36100000,20,286.885,429.375,322.476,490.903,
45000000,1950000,37050000,20,286.656,418.557,320.885,494.692,
45000000,2000000,38000000,20,284.72,406.172,324.701,494.65,
45000000,2050000,38950000,20,290.032,421.061,325.974,482.773,
45000000,2100000,39900000,20,286.851,412.261,320.877,503.647,
45000000,2150000,40850000,20,287.796,432.714,322.127,500.928,
45000000,2200000,41800000,20,285.757,408.901,322.555,496.29,
45000000,2250000,42750000,20,288.081,412.768,321.386,493.536,
